"gene","coefficient"
"ENSG00000196839",-6.41340541928717e-07
"ENSG00000170558",1.60699645957301e-07
"ENSG00000133997",2.33522455876714e-08
"ENSG00000168060",-4.03249562130821e-07
"ENSG00000101473",-1.82526291983266e-07
"ENSG00000136754",5.27050482962058e-08
"ENSG00000113552",1.72908804187148e-08
"ENSG00000177485",-9.66266621174848e-08
"ENSG00000136560",-3.52436590962044e-08
"ENSG00000094631",1.77304051848521e-08
"ENSG00000108840",-2.98363841978906e-08
"ENSG00000170248",-7.76717046195012e-09
"ENSG00000153094",2.28860449110926e-08
"ENSG00000159921",-3.69340883009918e-08
"ENSG00000165879",2.41181624196587e-06
"ENSG00000135451",-1.25575485561314e-06
"ENSG00000142892",-6.2414244716396e-08
"ENSG00000179776",-2.76734400356888e-08
"ENSG00000167670",-3.3754878290819e-07
"ENSG00000129484",6.32725396782812e-08
"ENSG00000041880",-4.52486059634336e-08
"ENSG00000113361",2.46568175603337e-08
"ENSG00000141198",-1.00810316320072e-08
"ENSG00000100284",-4.62112017864756e-08
"ENSG00000013619",3.87064538152597e-07
"ENSG00000010017",-2.07903139346e-08
"ENSG00000105993",1.43532284540089e-09
"ENSG00000113810",2.42143409564146e-08
"ENSG00000182963",-3.75121536175481e-08
"ENSG00000126261",-3.65921064211185e-08
"ENSG00000142230",-8.24126039649373e-09
"ENSG00000114770",-1.29656377924607e-07
"ENSG00000087470",-2.63082630665847e-08
"ENSG00000150394",-2.23793761894879e-06
"ENSG00000069431",-3.27824979922687e-08
"ENSG00000033050",-8.95141931293119e-08
"ENSG00000025434",-2.14623559402654e-07
"ENSG00000140497",-3.67087833030613e-08
"ENSG00000156253",1.39923689804369e-07
"ENSG00000254986",-1.64214223945756e-07
"ENSG00000086758",2.02773326541605e-09
"ENSG00000060656",-2.4569758668871e-07
"ENSG00000064201",5.04057268465635e-05
"ENSG00000184281",-8.30503094884877e-08
"ENSG00000054793",2.15613960470788e-08
"ENSG00000102103",-1.29069758417794e-08
"ENSG00000164176",-2.92550293405531e-08
"ENSG00000113163",-3.47586154129279e-08
"ENSG00000173338",-8.78905064825636e-08
"ENSG00000140937",-1.70745531179052e-07
"ENSG00000111962",-5.75458210352432e-08
"ENSG00000162704",-4.37597240088512e-09
"ENSG00000241553",-4.66737846929326e-08
"ENSG00000115091",-1.59401827067876e-08
"ENSG00000138071",-2.24620284393419e-08
"ENSG00000168785",3.5927738119533e-08
"ENSG00000140391",3.80365215633942e-09
"ENSG00000151651",1.13299231050674e-06
"ENSG00000134198",-5.75370946735014e-08
"ENSG00000123297",-1.97443450933441e-07
"ENSG00000117472",-3.29541736433244e-08
"ENSG00000108179",-4.85939457209559e-08
"ENSG00000175215",-1.0194783387395e-08
"ENSG00000163466",-1.171827456004e-08
"ENSG00000101049",-1.82963783017101e-07
"ENSG00000112984",-3.59622828800366e-07
"ENSG00000138073",-1.50273287061811e-08
"ENSG00000110422",1.74069884715551e-09
"ENSG00000169018",-5.53892478845732e-09
"ENSG00000115073",7.81331676171796e-09
"ENSG00000138107",-7.71887961349305e-09
"ENSG00000188042",-9.35035150983018e-08
"ENSG00000122644",-1.10283057366264e-07
"ENSG00000172575",4.01404756922378e-07
"ENSG00000100246",7.1372411809434e-08
"ENSG00000006194",-2.11789213832268e-08
"ENSG00000138095",-1.60375287774853e-08
"ENSG00000073910",1.23138927982756e-08
"ENSG00000143870",-4.99763239265947e-09
"ENSG00000126602",-5.98912033202131e-08
"ENSG00000123240",2.54319260086897e-08
"ENSG00000185825",-1.6750900332438e-09
"ENSG00000105835",-4.40614978293682e-08
"ENSG00000015153",-2.42215296927191e-08
"ENSG00000141232",7.28201392068407e-08
"ENSG00000127914",-3.96485154179844e-08
"ENSG00000138640",2.17168840864728e-08
"ENSG00000145907",4.50261302660175e-09
"ENSG00000064607",-9.69338919006271e-09
"ENSG00000105246",-1.09491851111717e-05
"ENSG00000173698",1.36675776820406e-07
"ENSG00000139793",2.18384075331895e-09
"ENSG00000115816",-4.71125774999399e-08
"ENSG00000136040",7.80149878310148e-07
"ENSG00000105808",-3.75669883692825e-07
"ENSG00000008311",-2.57236968341734e-07
"ENSG00000182220",-8.29114788218114e-09
"ENSG00000152767",-1.90324117868083e-09
"ENSG00000139679",-1.81654812963656e-07
"ENSG00000111684",-1.56691114129799e-07
"ENSG00000158195",-1.17692734638465e-09
"ENSG00000004864",-1.08811596482781e-07
"ENSG00000140264",-4.92435880134408e-09
"ENSG00000123374",-1.65840542929897e-07
"ENSG00000073737",-2.34296665870842e-07
"ENSG00000120158",-1.13764466707525e-07
"ENSG00000120896",-4.10334664551556e-08
"ENSG00000100528",-5.46032484222452e-08
"ENSG00000004534",-4.45243728196054e-08
"ENSG00000003756",-1.34522724694921e-08
"ENSG00000145685",-6.17657890932324e-08
"ENSG00000061938",1.91732381317839e-09
"ENSG00000115514",-8.04135065593118e-08
"ENSG00000181852",-2.95439869050891e-08
"ENSG00000214160",-9.90044053521834e-08
"ENSG00000185238",-1.45703394866176e-07
"ENSG00000131467",-2.00067145810253e-08
"ENSG00000051825",3.91814202925472e-07
"ENSG00000124383",-4.04520831699453e-08
"ENSG00000137845",4.08279659622222e-08
"ENSG00000164885",4.38352079716073e-07
"ENSG00000135698",9.50546866811588e-08
"ENSG00000172113",7.98992157057518e-08
"ENSG00000064989",-2.00007141969699e-07
"ENSG00000149573",-4.58793977310127e-08
"ENSG00000204977",3.76505449787213e-08
"ENSG00000132849",3.83610612895723e-08
"ENSG00000132952",-6.06852870461214e-08
"ENSG00000173812",-3.06222730821588e-09
"ENSG00000105810",2.98420717192752e-08
"ENSG00000197579",1.00006078478649e-07
"ENSG00000123136",1.14789635256429e-07
"ENSG00000115233",1.73053696566338e-07
"ENSG00000144677",-5.85354764270302e-08
"ENSG00000171819",1.26414846537135e-07
"ENSG00000139187",9.35069590429358e-06
"ENSG00000135414",-5.87729474574266e-07
"ENSG00000173334",-2.22745382726379e-08
"ENSG00000105355",-3.92173338771375e-08
"ENSG00000109736",-4.04507643871922e-08
"ENSG00000135823",-3.47775220146245e-08
"ENSG00000167186",-1.33582049393963e-07
"ENSG00000172348",-1.45375853482313e-08
"ENSG00000010626",-1.74352294300465e-07
"ENSG00000128606",-3.71726869701441e-07
"ENSG00000068831",1.93488627961242e-06
"ENSG00000121073",-2.22784051060094e-08
