"SpeciesLatinName","GestationTimeInYears","averagedMaturity.yrs","maxAge"
"Daphnia pulicaria",NA,NA,0.19
"Drosophila melanogaster",NA,0.0191780821917808,0.3
"Apis mellifera",NA,NA,8
"Cardiocondyla obscurior",NA,NA,0.5
"Lasius niger",NA,NA,28
"Pheidole dentata",NA,NA,0.4
"Bicyclus anynana",NA,0.0410958904109589,0.5
"Homarus americanus",NA,NA,100
"Bombina bombina",NA,3,20
"Bombina orientalis",NA,NA,15.8
"Bombina variegata",NA,NA,29
"Anaxyrus americanus",0.0219178082191781,2.49315068493151,36
"Anaxyrus boreas",0.0164383561643836,3,11.5
"Anaxyrus canorus",0.0301369863013699,4.5,15
"Anaxyrus cognatus",0.010958904109589,2,10.7
"Anaxyrus debilis",NA,NA,12.4
"Anaxyrus hemiophrys",NA,2,13.3
"Anaxyrus punctatus",NA,2,11.3
"Anaxyrus retiformis",0.00547945205479452,NA,15.3
"Anaxyrus terrestris",0.00821917808219178,NA,10
"Atelopus varius",NA,NA,10
"Bufo bufo",NA,4,40
"Incilius alvarius",NA,3,15.4
"Nectophrynoides asperginis",NA,NA,5
"Peltophryne lemur",NA,NA,10.7
"Peltophryne peltocephala",NA,NA,20
"Pseudepidalea viridis",NA,NA,11.9
"Rhaebo blombergi",NA,NA,28.7
"Rhinella arenarum",NA,NA,NA
"Rhinella marina",0.00547945205479452,1,24.8
"Rhinella schneideri",NA,NA,15.1
"Ceratophrys aurita",NA,NA,12.8
"Ceratophrys calcarata",NA,NA,15.9
"Ceratophrys cornuta",NA,NA,10.3
"Ceratophrys ornata",NA,NA,14.7
"Dendrobates auratus",0.0328767123287671,1,20.5
"Dendrobates leucomelas",0.0328767123287671,0.205479452054795,11.5
"Dendrobates tinctorius",NA,NA,NA
"Oophaga histrionica",NA,NA,9.1
"Oophaga pumilio",NA,NA,7.5
"Phyllobates vittatus",0.0410958904109589,0.832876712328767,NA
"Hoplobatrachus occipitalis",NA,NA,10.9
"Acris blanchardi",NA,NA,NA
"Acris crepitans",NA,NA,4.9
"Agalychnis callidryas",NA,NA,NA
"Agalychnis spurrelli",NA,NA,5.5
"Diaglena spatulata",NA,NA,12.8
"Hyla arborea",NA,NA,22
"Hyla chrysoscelis",0.0575342465753425,1.74931506849315,7.8
"Hyla cinerea",NA,2,NA
"Hyla gratiosa",NA,NA,12.5
"Hyla japonica",NA,3.5013698630137,8.9
"Hyla squirella",0.00273972602739726,NA,8.5
"Hyla versicolor",0.010958904109589,2,7.8
"Hypsiboas rosenbergi",NA,NA,NA
"Litoria caerulea",NA,NA,20
"Osteopilus septentrionalis",0.00273972602739726,0.513698630136986,12.9
"Osteopilus vastus",NA,NA,6.6
"Pachymedusa dacnicolor",NA,NA,8.7
"Phyllomedusa bicolor",NA,NA,10.3
"Pseudacris crucifer",0.0273972602739726,2.4986301369863,NA
"Pseudis paradoxa",NA,NA,11
"Smilisca baudinii",NA,NA,6.3
"Smilisca fodiens",NA,NA,5.1
"Smilisca phaeota",NA,NA,4.1
"Trachycephalus venulosus",NA,NA,10.5
"Ascaphus truei",0.0876712328767123,NA,14
"Leptodactylus pentadactylus",NA,NA,18.8
"Mantella aurantiaca",0.0383561643835616,NA,10.9
"Mantella expectata",NA,1,3
"Gastrophryne carolinensis",0.00273972602739726,1.24931506849315,6.8
"Kaloula pulchra",NA,NA,11
"Microhyla ornata",NA,0.998630136986301,5
"Phrynomantis bifasciatus",NA,NA,10.3
"Scaphiophryne gottlebei",NA,1,2
"Pelobates fuscus",0.0219178082191781,NA,11
"Conraua goliath",NA,NA,5.9
"Pipa pipa",NA,NA,7.7
"Xenopus laevis",0.00547945205479452,0.501369863013699,30.3
"Pyxicephalus adspersus",NA,NA,45
"Tomopterna delalandii",NA,NA,11.3
"Lithobates catesbeianus",0.010958904109589,2.74931506849315,16
"Lithobates clamitans",NA,2,10
"Lithobates pipiens",NA,1.5,9
"Lithobates septentrionalis",NA,1.74931506849315,6
"Lithobates sylvaticus",NA,1.9986301369863,5
"Lithobates virgatipes",NA,2,6.2
"Pelophylax lessonae",NA,NA,6
"Pelophylax nigromaculatus",NA,2,15
"Pelophylax perezi",0.0164383561643836,2.4986301369863,6.8
"Pelophylax ridibundus",NA,3.5,11
"Rana amurensis",NA,4.49315068493151,9
"Rana arvalis",NA,NA,11
"Rana aurora",NA,NA,15
"Rana esculenta",NA,NA,12
"Rana iberica",NA,NA,8
"Rana macrocnemis",NA,2.4986301369863,5
"Rana temporaria",NA,3,27
"Scaphiopus couchii",NA,NA,6.7
"Scaphiopus holbrookii",0.0219178082191781,2,12.3
"Spea intermontana",0.00821917808219178,NA,20
"Ambystoma gracile",NA,2,10.2
"Ambystoma mabeei",NA,NA,8.8
"Ambystoma macrodactylum",0.10958904109589,2,10
"Ambystoma maculatum",NA,2.5,32
"Ambystoma mexicanum",0.0493150684931507,1.5013698630137,17
"Ambystoma opacum",NA,3.3,11.3
"Ambystoma rosaceum",NA,NA,14.4
"Ambystoma talpoideum",NA,2,9
"Ambystoma texanum",0.0958904109589041,NA,13.8
"Ambystoma tigrinum",0.0767123287671233,4,25
"Dicamptodon ensatus",0.410958904109589,NA,16.9
"Amphiuma means",0.410958904109589,3.5,27
"Amphiuma tridactylum",0.36986301369863,NA,15.9
"Andrias davidianus",0.150684931506849,NA,19.9
"Andrias japonicus",0.164383561643836,5,55
"Cryptobranchus alleganiensis",0.197260273972603,5,29
"Hynobius boulengeri",NA,NA,11.9
"Hynobius leechii",NA,NA,7.1
"Hynobius nebulosus",NA,NA,14.2
"Hynobius retardatus",NA,NA,12.9
