probe,coef
(Intercept),73.99471
cg19923810,-0.09928683
cg06727198,0.4929813
cg13587552,0.4511303
cg12278474,-0.7807422
cg00944884,-1.821034
cg02309594,0.5576985
cg26131911,-7.656099
cg01918888,-1.079769
cg22748573,-1.612588
cg03557698,-0.5077139
cg02008416,0.6321693
cg01909487,2.269329
cg22215192,0.4825734
cg19490266,2.29457
cg22041635,17.37387
cg03265671,0.8210454
cg16054275,-0.1428678
cg11908570,20.87782
cg11314684,-0.7569609
cg21825027,-4.292028
cg10881225,1.1173136
cg27072387,3.325384
cg10198837,2.960419
cg19910382,0.7145974
cg15903395,1.634632
cg22854546,-20.96909
cg22774472,0.02013755
cg08147886,-2.132465
cg24938727,0.9701407
cg06613840,3.866795
cg12609467,0.8308328
cg03688818,4.60579
cg27563048,-1.126207
cg26152597,-4.443073
cg09298623,0.5795714
cg23449696,0.1315519
cg23527621,0.525981
cg00642303,4.090164
cg03199651,0.8089995
cg21924273,3.43595
cg14144025,2.219162
cg19283196,1.527738
cg09511421,0.2373042
cg10479325,13.33322
cg00398048,-0.517798
cg20811273,1.56542
cg18741962,-4.780777
cg16161425,1.30624
cg05001145,0.8483004
cg22748850,-5.32836
cg24523000,0.8004989
cg04232649,7.881121
cg23012579,-1.48558
cg16867657,1.959198
cg13884546,-1.32282
cg15765212,1.30637
cg14924781,0.1167876
cg27067781,0.913998
cg25764570,1.522334
cg11848539,-4.724677
cg10497569,4.323674
cg17488985,0.7153888
cg01883195,0.9836314
cg01868782,0.2310633
cg24692716,2.820754
cg24590353,-0.2811515
cg26620959,0.1016525
cg26701785,-0.6374274
cg03807873,2.645819
cg10865119,-0.8793949
cg12190994,0.2903116
cg06466797,-22.50685
cg19759064,-0.01502824
cg19384697,0.5206647
cg07703358,-3.325941
cg22530232,0.2593418
cg07301044,0.2013529
cg11051055,0.1190408
cg06935608,0.2491383
cg06557606,-1.147574
cg07104660,0.05962463
cg15170424,1.607457
cg24493971,-0.04610044
cg23124755,-3.527797
cg23181138,-15.07978
cg03454353,-0.4233942
cg23916845,-0.01317554
cg06318164,-0.9417421
cg09095562,1.130334
cg03431064,12.07385
cg15321211,0.2370272
cg23620639,7.833325
cg15097876,-40.70037
cg23702568,0.5070931
cg22967284,-2.894746
cg01658815,-0.0517936
cg06507244,-1.442559
cg22956483,0.6273049
cg16778148,1.172359
cg24528523,0.5146682
cg05222924,0.1354368
cg14585160,-3.415352
cg25072962,0.4968649
cg22986597,-0.3326281
cg24394865,-7.284061
cg08138505,-2.557655
cg08952029,-0.4698642
cg13806741,0.7363161
cg22593785,-0.3108189
cg25677688,0.1985966
cg14789804,5.653738
cg11631518,-0.9312852
cg26711820,0.7997561
cg17226286,0.8777926
cg17606785,0.3502739
cg12062492,1.034897
cg01268763,-0.7736761
cg16907514,0.4836619
cg12827555,1.041524
cg05314075,-0.6006263
cg19815139,3.124596
cg05019423,-1.313435
cg02982734,0.05975174
cg14847483,0.8418001
cg08364767,5.199042
cg15156078,-0.8951715
cg19574915,0.9445779
cg03628719,-4.448701
cg20801645,-0.3273385
cg24014020,0.7304051
cg08072101,0.1744845
cg07295034,0.2165566
cg13974531,-0.3492381
cg24728447,-11.62098
cg10784785,5.140122
cg22136326,-48.45744
cg19546781,6.014048
cg06766367,0.08386796
cg10819446,5.662444
cg22136365,0.08168304
cg21458932,1.773463
cg13325529,5.797286
cg03671597,1.634995
cg18964082,-0.3115023
cg01485645,3.424666
cg22325715,0.3506315
cg03192551,2.339401
cg19832721,1.584384
cg10910775,2.830854
cg12570134,-0.4522098
cg22325823,-0.09741974
cg13376158,0.5696345
cg10701033,-2.710552
cg25975818,0.4644438
cg09907395,4.48099
cg19359656,1.436047
cg17100770,-0.7549785
cg12709412,11.24718
cg24883732,1.020364
cg13365022,-0.9762053
cg05989429,-0.1388475
cg21547976,3.230694
cg16241649,0.3674138
cg20789620,-0.1172303
cg18931750,-2.67977
cg03138405,3.698779
cg09538452,-0.5195484
cg16929104,-0.70431
cg08162780,-0.04060468
cg01594262,-0.2070738
cg16551326,0.7550031
cg17889586,0.6357808
cg24454579,0.9072709
cg13672791,0.9082348
cg06244906,0.02035296
cg19292062,2.497601
cg05451974,7.487819
cg22021786,0.7869146
cg14736210,0.6704728
cg03503905,-14.74771
cg06171420,0.287094
cg25559313,0.1564856
cg02523400,0.2268883
cg12228611,0.1111826
cg00292662,3.628386
cg25404088,-0.03374432
cg15641675,-1.581164
cg02261346,0.8512074
cg10226744,-5.19501
cg17179568,-0.8162308
cg17285325,1.07113
cg18476633,0.3266705
cg17354708,-0.7668395
cg24006341,1.460475
cg07917796,0.06911016
cg12691219,0.09248599
cg05470074,0.50722
cg11110686,2.08306
