"probe","coef"
"cg02650017",-9.8549
"cg05399785",3.6821
"cg13165240",2.9319
"cg16755922",2.2606
"cg02481950",4.6279
"cg09018739",3.3528
"cg16395997",2.6961
"cg11183227",2.8842
"cg02079413",2.7113
"cg02464912",-7.5546
"cg08109625",3.4396
"cg01242348",4.2753
"cg11468085",2.7076
"cg07120889",-3.2092
"cg01678580",4.1008
"cg05131266",2.3786
"cg07078732",3.6255
"cg01145119",2.2597
"cg07058694",2.4907
"cg13619623",1.9607
"cg12647970",2.0495
"cg26002437",-3.636
"cg22985172",1.535
"cg20842915",-1.7263
"cg01676795",1.8078
"cg15310871",2.6902
"cg14620184",1.9901
"cg19619585",1.8568
"cg17588094",-2.4745
"cg17822325",1.7189
"cg07719604",1.9596
"cg07276358",-3.0624
"cg05450804",1.4325
"cg11132913",3.0933
"cg03636183",-1.1025
"cg03612357",-2.4365
"cg03699843",-2.7145
"cg27652459",-1.9845
"cg06547285",-2.0298
"cg27516100",2.5647
"cg18194850",1.5213
"cg21932513",2.248
"cg25189904",-0.8211
"cg07651316",-1.7698
"cg06012428",-2.0629
"cg06653796",1.4555
"cg01891966",-1.5904
"cg17281677",2.1961
"cg25363679",1.4459
"cg01383911",1.557
"cg20184247",-1.0442
"cg25376491",-2.0406
"cg17572056",1.8714
"cg14427590",2.5715
"cg01331461",2.8136
"cg11460110",2.1201
"cg02719954",1.0484
"cg20710777",-1.2217
"cg23236366",2.3852
"cg18280125",3.3551
"cg20000464",1.0185
"cg11080651",-2.4423
