CpG_Site,Coefficient,Mean_Beta_Value,Predictor
cg09458394,-3.51105e-4,0.02456795,ADAMTS
cg00063174,-0.007959853,0.027981238,ADAMTS
cg25523753,-0.002370391,0.028040064,ADAMTS
cg12678451,-0.020792013,0.028134674,ADAMTS
cg19019972,-0.002957148,0.040577326,ADAMTS
cg21819468,-0.004361308,0.051491749,ADAMTS
cg03796735,0.005819406,0.074565552,ADAMTS
cg26664161,-0.005845071,0.080226978,ADAMTS
cg11252953,0.014328829,0.081467532,ADAMTS
cg15351186,-9.11256e-4,0.098824243,ADAMTS
cg03725309,0.00370908,0.134930135,ADAMTS
cg02711608,0.011317992,0.160429672,ADAMTS
cg08810007,-0.016860111,0.161984462,ADAMTS
cg14854503,0.002878043,0.219101197,ADAMTS
cg16963852,0.00446598,0.226448477,ADAMTS
cg22989419,0.002505681,0.250017446,ADAMTS
cg01598009,-0.020038412,0.282434593,ADAMTS
cg03607573,0.0035425,0.285354713,ADAMTS
cg02927747,0.003757289,0.405782166,ADAMTS
cg11071401,-0.001916055,0.413089213,ADAMTS
cg18204120,-0.002415293,0.452202628,ADAMTS
cg15114651,0.001642209,0.469749267,ADAMTS
cg11688093,-0.003191353,0.489681623,ADAMTS
cg02812767,0.012602076,0.494601617,ADAMTS
cg17417856,0.007067586,0.497353383,ADAMTS
cg12800266,0.010537196,0.50207711,ADAMTS
cg01557754,0.001277733,0.502340047,ADAMTS
cg23152742,-0.002870935,0.513625757,ADAMTS
cg03636183,0.012369019,0.555896517,ADAMTS
cg02902617,0.004418669,0.55631256,ADAMTS
cg05681670,0.008423954,0.599577124,ADAMTS
cg17501210,0.045704052,0.631210325,ADAMTS
cg02981078,-0.011138541,0.665722328,ADAMTS
cg04321303,1.77163e-4,0.685698538,ADAMTS
cg07573872,0.030507949,0.723828463,ADAMTS
cg13633881,0.074257027,0.734087472,ADAMTS
cg10840994,4.93533e-4,0.737997554,ADAMTS
cg06690548,0.001832483,0.74974841,ADAMTS
cg10314139,0.016884021,0.7542112,ADAMTS
cg15342087,0.004619352,0.780709274,ADAMTS
cg06624020,-5.04614e-4,0.80964088,ADAMTS
cg02443816,-5.12863e-4,0.826310303,ADAMTS
cg16246188,-0.009993085,0.828550839,ADAMTS
cg18731761,0.002729333,0.849728627,ADAMTS
cg00988050,-0.005888807,0.856028004,ADAMTS
cg15748304,-0.00317041,0.872183835,ADAMTS
cg07755493,0.003064237,0.894599197,ADAMTS
cg13054523,0.006637211,0.899399751,ADAMTS
cg17969853,0.010871034,0.929519404,ADAMTS
cg15644756,-0.064648158,0.9428454,ADAMTS
cg00638202,0.004896032,0.951928561,ADAMTS
cg25220961,3.60918e-4,0.042749363,Adiponectin
cg26213873,0.043300181,0.046062468,Adiponectin
cg00134210,1.50357e-4,0.056248353,Adiponectin
cg00574958,0.011579124,0.069615669,Adiponectin
cg26615127,0.003026262,0.07795982,Adiponectin
cg10739556,0.01238619,0.104219025,Adiponectin
cg11199036,0.016231037,0.112351787,Adiponectin
cg16516405,0.003024642,0.146361188,Adiponectin
cg07816873,0.002463264,0.229320281,Adiponectin
cg05925497,-0.001329186,0.262762489,Adiponectin
cg26403843,-0.009619072,0.265764149,Adiponectin
cg15325961,0.002132511,0.290958447,Adiponectin
cg21784396,0.026243996,0.299961766,Adiponectin
