"probe","coef"
"cg09349128",-8.4344
"cg18181703",-4.4213
"cg07573872",-4.4045
"cg18608055",-5.2978
"cg02650017",-9.8549
"cg12992827",-3.9093
"cg10636246",-3.8082
"cg17501210",-3.5589
"cg16936953",-2.8623
"cg12054453",-2.4968
"cg12170787",-6.0451
"cg06192883",4.4849
"cg26470501",-4.7755
"cg19821297",-3.7832
"cg07094298",-2.8226
"cg06500161",4.7689
"cg10919522",-3.8638
"cg02716826",-4.1621
"cg06690548",-2.8498
"cg18942579",-2.6408
"cg24174557",-2.9503
"cg14476101",-2.3359
"cg02734358",-2.9899
"cg00159243",-3.9595
"cg20995564",-2.7806
"cg01059398",-3.2623
"cg02711608",-4.404
"cg03957124",-4.5396
"cg13585930",-3.2614
"cg05399785",3.6821
"cg27115863",-3.2261
"cg26804423",4.5391
"cg10508317",-5.1511
"cg08548559",-2.7215
"cg06946797",-3.0137
"cg15901722",-3.5288
"cg11832534",4.2669
"cg11024682",4.1336
"cg07960624",-2.3421
"cg01409343",-2.7878
"cg06164260",-5.4772
"cg03725309",-4.2228
"cg25368647",-2.7562
"cg18125510",-3.2569
"cg01243823",-2.5662
"cg18513344",-4.7967
"cg07037944",-4.4003
"cg13781414",-4.4905
"cg05316065",-3.6762
"cg22488164",3.2368
"cg01101459",3.1174
"cg22304262",-3.0103
"cg03940776",-5.1148
"cg00741986",-3.7414
"cg14237301",3.4825
"cg26663590",2.9066
"cg18120259",-3.4407
"cg00826902",3.1164
"cg22103219",-3.1352
"cg01127300",-2.2155
"cg25739715",-6.8959
"cg05673882",-2.3148
"cg21429551",-1.606
"cg00851028",4.0516
"cg12620005",-4.9251
"cg04389058",-2.6324
"cg15357118",3.4698
"cg23866916",-4.5005
"cg24531955",-3.2258
"cg04011474",-3.3678
"cg27469606",-4.7517
"cg13165240",2.9319
"cg00490406",-1.9511
"cg23842572",3.6152
"cg03699074",-3.2029
"cg19589396",-2.7519
"cg16755922",2.2606
"cg17515347",-1.5924
"cg16292768",-2.9271
"cg26610247",3.101
"cg09182678",-4.6872
"cg23761815",4.1208
"cg19750657",2.7498
"cg07626482",-3.9217
"cg02481950",4.6279
"cg07021906",2.8029
"cg18860310",-2.9598
"cg12644285",-2.4797
"cg16246545",-2.2933
"cg17178175",-2.547
"cg21766592",-3.803
"cg09018739",3.3528
"cg21190595",-3.8531
"cg01015663",-2.7579
"cg25001190",-2.3146
"cg25392060",3.3018
"cg20559943",-3.9017
"cg13823169",-3.3587
"cg17602444",-2.5508
"cg08255481",3.6691
"cg26955383",3.2227
"cg13059136",2.68
"cg16395997",2.6961
"cg13222915",-3.5356
