"probe","coef"
"cg00004105",-1
"cg00005619",1
"cg00008971",-1
"cg00010654",-1
"cg00010853",-1
"cg00016968",-1
"cg00017842",-1
"cg00020991",-1
"cg00021275",1
"cg00025211",-1
"cg00027637",1
"cg00035969",1
"cg00036732",-1
"cg00038020",-1
"cg00040575",-1
"cg00047052",-1
"cg00048697",-1
"cg00050654",-1
"cg00054774",-1
"cg00056754",1
"cg00061031",-1
"cg00072689",1
"cg00073460",-1
"cg00073650",-1
"cg00080125",-1
"cg00086577",-1
"cg00087884",-1
"cg00089451",-1
"cg00091633",-1
"cg00092400",1
"cg00093971",-1
"cg00095333",-1
"cg00101457",1
"cg00102731",-1
"cg00105512",-1
"cg00109764",-1
"cg00114132",-1
"cg00116430",-1
"cg00118507",-1
"cg00122854",-1
"cg00123104",1
"cg00127150",-1
"cg00137611",-1
"cg00139947",1
"cg00143364",-1
"cg00143376",-1
"cg00144673",-1
"cg00153395",1
"cg00154846",-1
"cg00159289",-1
"cg00161791",-1
"cg00166216",-1
"cg00168942",1
"cg00174179",-1
"cg00178728",-1
"cg00178850",-1
"cg00178928",-1
"cg00181061",-1
"cg00187299",-1
"cg00187692",-1
"cg00192882",1
"cg00197173",-1
"cg00199059",-1
"cg00199091",-1
"cg00202479",-1
"cg00206490",1
"cg00210249",-1
"cg00212786",-1
"cg00214970",-1
"cg00218406",-1
"cg00218893",-1
"cg00229387",-1
"cg00231812",-1
"cg00232105",-1
"cg00238353",-1
"cg00241281",-1
"cg00242561",-1
"cg00244308",-1
"cg00244776",-1
"cg00246121",-1
"cg00246969",-1
"cg00253564",-1
"cg00253681",-1
"cg00256485",1
"cg00259834",1
"cg00262054",-1
"cg00263248",-1
"cg00273359",-1
"cg00274203",-1
"cg00284153",-1
"cg00285343",-1
"cg00288957",-1
"cg00293381",1
"cg00299736",-1
"cg00303541",-1
"cg00308631",-1
"cg00308841",-1
"cg00309945",1
"cg00310412",-1
"cg00311984",-1
"cg00313685",1
"cg00314029",-1
"cg00316222",-1
"cg00321901",-1
"cg00322618",-1
"cg00324097",-1
"cg00325968",-1
"cg00328058",-1
"cg00328729",-1
"cg00335591",-1
"cg00335744",-1
"cg00339241",-1
"cg00339319",-1
"cg00340855",-1
"cg00342358",-1
"cg00342891",-1
"cg00344380",-1
"cg00345862",-1
"cg00347584",-1
"cg00351443",-1
"cg00352027",-1
"cg00352031",-1
"cg00352780",-1
"cg00353330",-1
"cg00354484",-1
"cg00356361",-1
"cg00356999",-1
"cg00361992",-1
"cg00364051",1
"cg00374747",-1
"cg00376553",1
"cg00379648",1
"cg00387658",-1
"cg00391479",-1
"cg00391741",1
"cg00392257",-1
"cg00393247",-1
"cg00399027",1
"cg00404923",-1
"cg00406022",-1
"cg00408678",-1
"cg00417323",-1
"cg00426377",1
"cg00435064",-1
"cg00437411",-1
"cg00443094",-1
"cg00443981",-1
"cg00444151",-1
"cg00444360",-1
"cg00451635",-1
"cg00461578",-1
"cg00463732",1
"cg00463859",-1
"cg00464046",-1
"cg00464927",1
"cg00466249",-1
"cg00469897",-1
"cg00470051",-1
"cg00472373",-1
"cg00473749",-1
"cg00474218",-1
"cg00476608",1
"cg00479885",-1
"cg00481644",1
"cg00485194",1
"cg00492055",-1
"cg00493617",-1
"cg00501774",-1
"cg00502254",1
"cg00504285",1
"cg00504599",1
"cg00507154",-1
"cg00509451",1
"cg00512031",-1
"cg00516678",-1
"cg00531137",-1
"cg00539049",-1
"cg00541303",-1
"cg00548098",-1
"cg00549412",-1
"cg00552892",-1
"cg00566320",-1
"cg00566982",-1
"cg00568555",-1
"cg00569091",1
"cg00574412",-1
"cg00575672",-1
"cg00578039",-1
"cg00586058",-1
"cg00591660",-1
"cg00594191",-1
"cg00597687",1
"cg00609227",-1
"cg00615469",-1
"cg00625425",-1
"cg00627029",-1
"cg00634542",1
"cg00636737",-1
"cg00658151",-1
"cg00659931",-1
"cg00662002",-1
"cg00664406",-1
"cg00666845",1
"cg00668034",-1
"cg00675878",-1
"cg00677334",-1
"cg00687135",1
"cg00687714",-1
"cg00689213",-1
"cg00695112",-1
"cg00695760",-1
"cg00698982",-1
"cg00701706",-1
"cg00706302",-1
"cg00707380",-1
"cg00716257",-1
"cg00718684",-1
"cg00723017",-1
"cg00724839",-1
"cg00725138",-1
"cg00728046",-1
"cg00739471",-1
"cg00741992",-1
"cg00747849",-1
"cg00753885",-1
"cg00754617",-1
"cg00773060",-1
"cg00774088",-1
"cg00776080",-1
"cg00776917",-1
"cg00779167",-1
"cg00781658",1
"cg00782645",-1
"cg00785482",1
"cg00795900",-1
"cg00799387",1
"cg00804043",-1
"cg00805193",1
"cg00808132",-1
"cg00808969",-1
"cg00815325",-1
"cg00819142",1
"cg00820311",1
"cg00827893",-1
"cg00829369",-1
"cg00832329",1
"cg00848480",-1
"cg00849365",-1
"cg00850538",-1
"cg00851518",1
"cg00856997",-1
"cg00866870",-1
"cg00871371",1
"cg00891541",1
"cg00893603",-1
"cg00908758",-1
"cg00920254",1
"cg00920892",1
"cg00921350",-1
"cg00932063",-1
"cg00933859",-1
"cg00935108",1
"cg00939347",-1
"cg00945810",-1
"cg00949386",-1
"cg00950244",-1
"cg00952050",-1
"cg00962903",1
"cg00968616",1
"cg00971110",-1
"cg00975680",-1
"cg00977403",-1
"cg00978822",-1
"cg00981350",-1
"cg00985983",-1
"cg00990690",-1
"cg00991744",-1
"cg00994250",-1
"cg00999152",-1
"cg01007201",-1
"cg01008405",1
"cg01022250",-1
"cg01022345",-1
"cg01024247",-1
"cg01025233",-1
"cg01026796",-1
"cg01028796",-1
"cg01034396",-1
"cg01042100",-1
"cg01042424",-1
"cg01044409",-1
"cg01048195",-1
"cg01053714",-1
"cg01062126",-1
"cg01068823",-1
"cg01068906",1
"cg01069451",-1
"cg01069965",-1
"cg01075459",-1
"cg01079060",-1
"cg01081083",-1
"cg01082299",-1
"cg01087775",-1
"cg01089602",-1
"cg01099825",1
"cg01101459",1
"cg01102073",1
"cg01102854",-1
"cg01103207",-1
"cg01105058",1
"cg01106909",-1
"cg01108112",-1
"cg01109279",-1
"cg01109535",-1
"cg01115058",-1
"cg01115432",-1
"cg01127300",-1
"cg01133215",1
"cg01138448",-1
"cg01139861",-1
"cg01139880",-1
"cg01141413",-1
"cg01145119",1
"cg01146205",-1
