probe,coef
cg01689796,1
cg17753162,1
cg26150621,1
cg11684734,1
cg05812697,1
cg24052817,1
cg01827202,1
cg12277524,1
cg06160606,1
cg12758960,1
cg12270633,1
cg25939869,1
cg16823292,1
cg17041296,1
cg17325792,1
cg05347985,1
cg04789392,1
cg16320208,1
cg01779525,1
cg08009265,1
cg08244156,1
cg14711592,1
cg16577588,1
cg03114253,1
cg02245566,1
cg22601108,1
cg01068621,1
cg21291134,1
cg20491963,1
cg07725889,1
cg11388802,1
cg24863175,1
cg23610736,1
cg11813810,1
cg07573078,1
cg10113157,1
cg15458801,1
cg24645611,1
cg09069203,1
cg07285760,1
cg07928232,1
cg27235789,1
cg08935841,1
cg07782924,1
cg26403777,1
cg16258888,1
cg14022840,1
cg15604398,1
cg17965737,1
cg05481163,1
cg11136592,1
cg10519925,1
cg02980650,1
cg26201727,1
cg13959943,1
cg18308359,1
cg23284074,1
cg16342842,1
cg08770757,1
cg03287579,1
cg20095628,1
cg27034294,1
cg14416456,1
cg26944562,1
cg23029228,1
cg03799378,1
cg09977794,1
cg10195050,1
cg13313508,1
cg16126900,1
cg14915104,1
cg07081753,1
cg05907577,1
cg04169186,1
cg19746502,1
cg16197188,1
cg07048828,1
cg19832529,1
cg18642179,1
cg00458351,1
cg26490626,1
cg16023896,1
cg09315775,1
cg20490751,1
cg22812280,1
cg14544583,1
cg14269191,1
cg07568203,1
cg26273072,1
cg19232395,1
cg16570256,1
cg06979684,1
cg15344659,1
cg00562107,1
cg18722615,1
cg18737789,1
cg04883553,1
cg22836809,1
cg02946903,1
cg16943505,1
cg01884522,1
cg02235529,1
cg23110376,1
cg18431655,1
cg19247310,1
cg05816993,1
cg02587435,1
cg15599875,1
cg21961694,1
cg16800162,1
cg05283685,1
cg00489066,1
cg23265210,1
cg20945509,1
cg21832801,1
cg05878332,1
cg13072246,1
cg06995808,1
cg03225882,1
cg17726105,1
cg15826891,1
cg17208425,1
cg25527732,1
cg22790986,1
cg22947965,1
cg16748816,1
cg13012115,1
cg27101914,1
cg02790372,1
cg06962970,1
cg17090716,1
cg25724515,1
cg04765303,1
cg09531376,1
cg04691233,1
cg21006600,1
cg03923850,1
cg18607010,1
cg08272331,1
cg10465202,1
cg05612506,1
cg13600716,1
cg22969763,1
cg21372595,1
cg17460855,1
cg12127290,1
cg26362257,1
cg20025970,1
cg03770575,1
cg17367439,1
cg15368222,1
cg01777672,1
cg12133004,1
cg20502257,1
cg23335356,1
cg04525892,1
cg27151135,1
cg11781518,1
cg18719327,1
cg18798445,1
cg18447785,1
cg20899615,1
cg10810769,1
cg19872222,1
cg11650135,1
cg12504696,1
cg26247186,1
cg05498948,1
cg15857627,1
cg22432612,1
cg21029155,1
cg17508167,1
cg14128419,1
cg06852037,1
cg05439724,1
cg24639246,1
cg10633648,1
cg04476865,1
cg24100475,1
cg14468932,1
cg06710083,1
cg13714636,1
cg19213045,1
cg24403711,1
cg02696428,1
cg21816456,1
cg23205092,1
cg08506585,1
cg07994859,1
cg21797500,1
cg20248654,1
cg13816734,1
cg07514107,1
cg16437048,1
cg15187175,1
cg05188268,1
cg09328960,1
cg11779118,1
cg14420012,1
cg05402364,1
cg11848324,1
cg20077718,1
cg24067075,1
cg04338834,1
cg18091245,1
cg15840418,1
cg15911612,1
cg04389921,1
cg21917261,1
cg15862950,1
cg19920029,1
cg20038225,1
cg05439503,1
cg13036798,1
cg11204152,1
cg18917736,1
cg13033972,1
cg22834409,1
cg07460524,1
cg02344891,1
cg09293488,1
cg25045972,1
cg13639866,1
cg16221927,1
cg00975791,1
cg24947073,1
cg04585937,1
cg13098800,1
cg09550097,1
cg24738356,1
cg05951178,1
cg01871408,1
cg03997517,1
cg09459714,1
cg13337716,1
cg20789760,1
cg01529092,1
cg10627759,1
cg16469894,1
cg03545575,1
cg16091630,1
cg07632448,1
cg19985018,1
cg27072665,1
cg27201332,1
cg19887404,1
cg15826426,1
cg07160602,1
cg26139402,1
cg20861237,1
cg02008627,1
cg02217063,1
cg09696486,1
cg04736751,1
cg02646706,1
cg02459866,1
cg02392915,1
cg04011357,1
cg02968537,1
cg10154971,1
cg02782052,1
cg10447095,1
cg03328485,1
cg03388493,1
cg09847250,1
cg01630588,1
cg26519930,1
cg25050975,1
cg06233815,1
cg14833286,1
cg27241873,1
cg12502564,1
cg24185926,1
cg00167783,1
cg14794480,1
cg25255893,1
cg24615689,1
cg01520122,1
cg11230471,1
cg10664339,1
cg03406131,1
cg08345142,1
cg24414383,1
cg07337480,1
cg18848394,1
cg09486367,1
cg02799934,1
cg18863203,1
cg21664522,1
cg02815025,1
cg23818246,1
cg27378216,1
cg25162588,1
cg15309045,1
cg00005215,1
cg14426174,1
cg26646527,1
cg10198813,1
cg23207876,1
cg05663891,1
cg16210461,1
cg17948136,1
cg03267167,1
cg03530260,1
cg11378502,1
cg24923853,1
cg01936122,1
cg15050103,1
cg22037408,1
cg15394911,1
cg15232593,1
cg22607995,1
cg07599819,1
cg22338152,1
cg06557683,1
cg16063656,1
cg09337427,1
cg04065297,1
cg00339012,1
cg25617157,1
cg23168603,1
cg07182705,1
cg25806743,1
cg26318682,1
cg19702762,1
cg02626897,1
cg08254889,1
cg06335869,1
cg07409153,1
cg26875989,1
cg08327518,1
cg14151288,1
cg22050792,1
cg02071003,1
cg16516973,1
cg25012143,1
cg02595851,1
cg03253309,1
cg18813234,1
cg03818055,1
cg17109283,1
cg05847835,1
cg11974162,1
cg07931608,1
cg21315173,1
cg03180819,1
cg25995212,1
cg26372498,1
cg00789792,1
cg13490979,1
cg03444340,1
cg15057373,1
cg22011587,1
cg25202000,1
cg11417222,1
cg20332865,1
cg09961177,1
cg02031634,1
cg00002473,1
cg10432859,1
cg18552983,1
cg06003429,1
cg00472837,1
cg05203206,1
cg24716640,1
cg11497924,1
cg25697357,1
cg04476531,1
cg17106526,1
cg22981961,1
cg24569412,1
cg02089745,1
cg18377512,1
cg07345521,1
cg13120955,1
cg25864727,1
cg24422202,1
cg07392829,1
cg08097817,1
cg00504535,1
cg00322212,1
cg10673707,1
cg11674381,1
cg16439360,1
cg05939647,1
cg14226671,1
cg01719904,1
cg23343273,1
cg00115864,1
cg12970662,1
cg22615917,1
cg21512502,1
cg00168439,1
cg16526133,1
cg19846707,1
cg18012213,1
cg08855630,1
cg17482117,1
cg04546691,1
cg07457820,1
cg01375651,1
cg25424293,1
cg27011350,1
cg03660603,1
cg09831620,1
cg04362407,1
cg02564302,1
cg14571619,1
cg00423655,1
cg19466967,1
cg16451455,1
cg13592373,1
cg24181062,1
cg10462597,1
cg18544974,1
cg05092583,1
cg23232849,1
cg07129879,1
cg13233545,1
cg14218037,1
cg21150807,1
cg17374958,1
cg27090727,1
cg03545548,1
cg11861766,1
cg22588275,1
cg19391006,1
cg27422407,1
cg17917241,1
cg26764579,1
cg19119072,1
cg17314566,1
cg18761446,1
cg21997401,1
cg17840047,1
cg02381390,1
cg04847638,1
cg25659893,1
cg02883604,1
cg11047796,1
cg12840245,1
cg24405911,1
cg04725285,1
cg26900781,1
cg00681365,1
cg08572278,1
cg04331368,1
cg07652982,1
cg08789697,1
cg11124847,1
cg11010344,1
cg23760603,1
cg08475244,1
cg24923953,1
cg01675895,1
cg01368160,1
cg21592690,1
cg05292310,1
cg22143971,1
cg26329047,1
cg19494252,1
cg14994944,1
cg25429446,1
cg02322135,1
cg15882726,1
cg15008587,1
cg23205231,1
cg02622782,1
cg05243267,1
cg17031898,1
cg12144728,1
cg21578543,1
cg08548535,1
cg20409352,1
cg04077800,1
cg24035112,1
cg07259382,1
cg00007239,1
cg22009329,1
cg24914139,1
cg08802511,1
cg01289782,1
cg25072945,1
cg25088879,1
cg08334726,1
cg21797147,1
cg02818728,1
cg04719454,1
cg16349148,1
cg06558800,1
cg18202928,1
cg18382744,1
cg15907819,1
cg00435576,1
cg08414068,1
cg09568216,1
cg12917072,1
cg09745307,1
cg07566931,1
cg02721947,1
cg02598319,1
cg14972625,1
cg02741305,1
cg11580212,1
cg26706614,1
cg27662540,1
cg18679324,1
cg05507145,1
cg01557147,1
cg17280723,1
cg07293406,1
cg26207127,1
cg10893667,1
cg17657814,1
cg08805675,1
cg11204913,1
cg18399472,1
cg01192140,1
cg12659009,1
cg22902550,1
cg08935663,1
cg01534363,1
cg06770322,1
cg12672779,1
cg08264338,1
cg10501621,1
cg19486756,1
cg26856369,1
