"probe","coef"
"Intercept",3.056340222
"cg00114412",-0.01484855
"cg00295657",-0.015909673
"cg00296110",-0.037077265
"cg00310215",0.969483365
"cg00439117",-0.920303425
"cg00471897",-0.026087678
"cg00559067",0.330006317
"cg00578937",-0.789657415
"cg00587168",0.041479979
"cg00728976",-0.493853314
"cg00742557",0.093997425
"cg00780852",-0.002576523
"cg00833227",0.253136219
"cg00910419",-0.966807549
"cg00915004",0.591387911
"cg00918089",-0.042306781
"cg00935831",0.014051663
"cg00953859",0.541458337
"cg01053290",-0.414667632
"cg01079397.1",0.134805534
"cg01079397.2",-0.483148574
"cg01137681",0.322620437
"cg01190601",0.036402441
"cg01235968",-0.205926428
"cg01393939",0.476875893
"cg01486146",0.178806578
"cg01528792",-0.555414678
"cg01566077",-1.300411708
"cg01701526",-0.031236405
"cg01932632",-0.154379258
"cg02007453",-0.973591084
"cg02040024",0.054881844
"cg02073955",-0.918708257
"cg02200118",-0.984761069
"cg02215504",-0.02195268
"cg02231368",-0.149736718
"cg02255236",1.02093911
"cg02314721",-0.47201613
"cg02471195",0.025404512
"cg02532525",1.887928494
"cg02581097",-0.107073588
"cg02635521",-0.105464803
"cg02652404",0.349919812
"cg02658193",0.05863201
"cg02692845",-0.336713185
"cg02714730",-0.103158736
"cg02791084",0.019893531
"cg02841933",-0.673804651
"cg02845962",0.061786623
"cg02884952",0.126914403
"cg03053914",-1.690040111
"cg03185194",0.219375035
"cg03350186",-0.427751818
"cg03364470",0.035313947
"cg03458585",-0.641954385
"cg03513784",-0.059650534
"cg03523284",-0.084491035
"cg03566885",0.490744205
"cg03669298",-0.059901169
"cg03676977",0.635441974
"cg03815476",-0.923207627
"cg04015779",-0.032530035
"cg04105754",0.277137631
"cg04154445",0.134784209
"cg04231169",0.130096857
"cg04247657",-0.030718361
"cg04263029",0.01583245
"cg04272551",-8.271972447
"cg04407088",-0.695702043
"cg04414148",-0.508691441
"cg04443475",-0.075008248
"cg04723117",-0.82326968
"cg04794444",2.557752226
"cg04814124",0.038041997
"cg04833497",0.219475534
"cg04866128",0.700305569
"cg04902782",-0.153789277
"cg04906879",-0.002329547
"cg05039938",-0.033992582
"cg05196915",0.214279827
"cg05212484",-0.014036719
"cg05222658",-0.349128756
"cg05275337",-0.858612671
"cg05313144",-0.046587744
"cg05314634",-0.477126019
"cg05371279",0.487139651
"cg05456580",0.342139077
"cg05475048",0.068341973
"cg05486014",0.199849479
"cg05736341",0.082458361
"cg05811474",0.208002571
"cg05844902",-0.349117199
"cg05874561",0.769077616
"cg05879032",0.203295621
"cg05897263",0.373126559
"cg05917369",-0.000366936
"cg05934936",0.654537716
"cg05975184",0.027787506
"cg06060272",-0.224258706
"cg06156376",0.270516443
"cg06197482",-0.049920249
"cg06386724",-0.113437301
"cg06391468",-0.410415027
"cg06440786",-0.051911725
"cg06461219",-0.72805739
"cg06482098",-6.31e-05
"cg06488465",0.201927078
"cg06493080",0.097776746
"cg06571003",-0.594767572
"cg06571779",-0.479379575
"cg06649032",0.217617544
"cg06670018",0.980201529
"cg06679868",-0.179758219
"cg06765617",-0.040189344
"cg06910273",1.055311635
"cg06956589",-0.000561608
"cg06997801",2.836647758
"cg07014363",0.133183844
"cg07056567",-0.234728387
"cg07069368",-0.000194555
"cg07071132",0.021183626
"cg07262346",-0.068178118
"cg07292994",-0.051490103
"cg07293124",0.187073743
"cg07476673",0.278527014
"cg07493901",-0.529237571
"cg07517669",0.10204006
"cg07547549",1.947081776
"cg07588415",-0.000972058
"cg07600647",-0.847995169
"cg07774376",-0.508665366
"cg07800922",0.513037823
"cg07838086",0.18279558
"cg07965068",0.811377215
"cg07987507",0.269968403
"cg08070857",0.081554712
"cg08074329",2.890390236
"cg08107449",0.713497598
"cg08193095",-0.05469334
"cg08201223",0.119572223
"cg08212459",0.000219381
"cg08378313",-0.30497411
"cg08402704",0.325270677
"cg08433376",0.000764695
"cg08574252",0.253212488
"cg08715005",0.053151565
"cg08846022",-0.633915637
"cg09004957",-0.037318065
"cg09031270",0.042308007
"cg09227056",1.346770401
"cg09244470",0.136439085
"cg09255391",-0.170221218
"cg09635425",0.137412279
"cg09642734",-0.421218685
"cg09705951",0.461446858
"cg09710440",2.337899036
"cg09722555",0.043845132
"cg09771800",-0.006951525
"cg09807427",-0.289131587
"cg09809672",-0.364372408
"cg09931937",-0.519325288
"cg09955247",-0.363377203
"cg10278760",-0.991008378
"cg10382585",-0.139290051
"cg10451735",0.187095015
"cg10487127",0.025431115
"cg10501210",-0.011495523
"cg10583293",-0.120952115
"cg10586028",-0.201495857
