"probe","coef"
"(Intercept)",-0.443126655
"cg00006213",0.626102843
"cg00029755",0.061784859
"cg00046850",-0.219533981
"cg00055211",-0.060187799
"cg00101675",-0.239429317
"cg00109076",-0.136193838
"cg00153046",-0.80770415
"cg00247020",-0.341969793
"cg00281640",0.051378468
"cg00384342",-0.012018346
"cg00386499",-0.431611588
"cg00438946",-0.561219891
"cg00483633",0.291298245
"cg00573041",0.730864984
"cg00623160",0.643126017
"cg00662491",0.08372019
"cg00776597",-0.018281029
"cg00823476",-0.782916329
"cg00946032",-0.311620146
"cg01013124",-0.085964836
"cg01019040",-0.813260451
"cg01105418",-0.136254793
"cg01134518",0.666825401
"cg01161204",0.034686608
"cg01183821",0.789693539
"cg01187271",-0.024094826
"cg01296942",-0.148033184
"cg01346827",-0.010846471
"cg01370575",1.74314552
"cg01429475",0.01162322
"cg01675333",-0.255399217
"cg01751178",-0.142720672
"cg01811415",-0.099670726
"cg01857866",0.248934421
"cg01883716",0.091963541
"cg01925697",0.29107908
"cg01949917",0.44943509
"cg01988539",-0.086296431
"cg02003409",-0.241014856
"cg02221888",0.163443715
"cg02427264",-0.077105994
"cg02456288",0.535041922
"cg02551294",0.207459458
"cg02606840",-0.087185769
"cg02692845",-0.051138036
"cg02753243",0.187831961
"cg02897704",-0.001190894
"cg02909927",-0.003251396
"cg03064169",-0.218489162
"cg03462301",-0.079497478
"cg03524461",-0.005943129
"cg03556243.1",-0.191642033
"cg03571891",0.463129496
"cg03669298",0.110484456
"cg03679521",0.810411616
"cg03843323",0.112194331
"cg03898602",-0.263219375
"cg04177975",0.049734881
"cg04204168",-0.111740205
"cg04499114",0.16510099
"cg04817397",0.092696152
"cg04998737",0.349225438
"cg05022221",0.524873526
"cg05087350",0.475185851
"cg05109804",0.15512769
"cg05262711",0.058766452
"cg05403655",0.078300782
"cg05464599",-0.068521774
"cg05590009",-0.7541618
"cg05750171",-0.219901681
"cg05840882",-0.136092574
"cg05866252",-0.363125306
"cg05907933",0.148167968
"cg06102298",-0.574563885
"cg06144905",0.236572809
"cg06172365",-0.08985943
"cg06201590",-0.102804726
"cg06315860",-0.216957622
"cg06429021",-0.541148317
"cg06492554",0.154232792
"cg06553764",-0.162933236
"cg06633079",0.160728685
"cg06715092",0.865996166
"cg06736685",-0.441882141
"cg06753411",0.127879056
"cg06816948",-0.170113931
"cg06832823",0.387897488
"cg06878766",0.000396316
"cg07017109",-0.008174367
"cg07054032",-0.016784132
"cg07095347",-0.020352944
"cg07234865",-0.019448642
"cg07291145",0.040418329
"cg07374022",0.006348142
"cg07698729",-0.210075817
"cg07771393",-0.347347924
"cg07866592",-0.101738961
"cg08036273",-0.16044178
"cg08106287",-0.004820949
"cg08273474",0.2368443
"cg08309749",0.143056494
"cg08343834",-0.164938876
"cg08396875",-0.022390605
"cg08402623",0.066604514
"cg08667099",1.203107685
"cg08714699",-0.025281883
"cg08770225",-0.169801016
"cg08862885",-0.073960965
"cg08901754",0.021842084
"cg08938156",0.522719585
"cg08969321",-0.0083494
"cg09023627",0.001376619
"cg09026530",-0.293247935
"cg09227056",0.674893624
"cg09362546",-0.115477544
"cg09387535",-0.381510626
"cg09461098",-0.399739692
"cg09606114",-1.0102379
"cg09745783",-0.233734497
"cg09883885",-0.017938419
"cg09942248",0.014976728
"cg09946098",-0.805350184
"cg09973880",-0.133960465
"cg10010424",0.158782908
"cg10052840",-0.059728428
"cg10083965",0.219360278
"cg10141883",-0.221634885
"cg10288441",0.529676915
"cg10402101",-0.033742423
"cg10439738",0.218606174
"cg10491556",-0.021161334
"cg10501210",-0.033599867
"cg10719965",0.073965591
"cg10729426",0.260256364
"cg10739250",0.090101483
