"probe","coef"
"cg23014425",-1
"cg04800503",-1
"cg07727170",-1
"cg01966117",-1
"cg19825437",-1
"cg25113462",-1
"cg08343644",-1
"cg01521274",-1
"cg21517792",-1
"cg15059065",-1
"cg10163955",-1
"cg10717869",-1
"cg03785076",-1
"cg22506548",-1
"cg20731257",-1
"cg01433297",-1
"cg24771152",-1
"cg25911968",-1
"cg23534245",-1
"cg23551720",-1
"cg00646731",-1
"cg19529621",-1
"cg11064966",-1
"cg16937168",-1
"cg26904049",-1
"cg07262247",-1
"cg13545717",-1
"cg21674927",-1
"cg06458086",-1
"cg23537932",-1
"cg00776080",-1
"cg25149218",-1
"cg08849294",-1
"cg03289906",-1
"cg02341556",-1
"cg15728320",-1
"cg01028796",-1
"cg17607231",1
"cg10020890",-1
"cg18568061",-1
"cg20125920",-1
"cg19351603",-1
"cg22770911",-1
"cg12252865",-1
"cg14286292",-1
"cg17839959",-1
"cg22234419",-1
"cg23913963",-1
"cg01618988",-1
"cg24400630",-1
"cg27347104",-1
"cg16861241",-1
"cg06186155",-1
"cg08844900",-1
"cg07418114",-1
"cg03857453",-1
"cg20341535",-1
"cg26963277",-1
"cg03602233",-1
"cg09354263",-1
"cg25930644",-1
"cg09635866",-1
"cg16335858",-1
"cg18222590",-1
"cg18389639",-1
"cg07250214",-1
"cg09749364",-1
"cg13987674",-1
"cg06242243",-1
"cg09814231",-1
"cg14270346",-1
"cg10646145",-1
"cg00040575",-1
"cg02311364",-1
"cg09403559",-1
"cg06002638",-1
"cg25609878",-1
"cg07218081",-1
"cg24195878",-1
"cg23146197",-1
"cg00636737",-1
"cg19137417",-1
"cg09612099",-1
"cg22012981",-1
"cg03772384",-1
"cg06084210",-1
"cg18129282",-1
"cg10383568",-1
"cg00632560",-1
"cg07471614",-1
"cg25491122",-1
"cg25424279",-1
"cg07653800",-1
"cg25998745",-1
"cg07064364",-1
"cg00549412",-1
"cg08160085",-1
"cg26403171",-1
"cg23781467",-1
"cg22075924",-1
"cg06829788",-1
"cg02029665",-1
"cg22345878",-1
"cg10577534",-1
"cg02933228",-1
"cg26575622",-1
"cg03646605",-1
"cg15007228",-1
"cg12873476",-1
"cg00108715",-1
"cg04500377",-1
"cg03281572",-1
"cg03269716",-1
"cg25608626",-1
"cg00246969",-1
"cg02544002",-1
"cg25057584",-1
"cg15763258",-1
"cg00443094",-1
"cg11291003",-1
"cg26130090",-1
"cg11419186",-1
"cg26258437",-1
"cg17775079",-1
"cg17041511",-1
"cg10381440",-1
"cg27059698",-1
"cg03654166",-1
"cg19442470",-1
"cg05957504",-1
"cg02870946",-1
"cg27178677",-1
"cg08190844",-1
"cg14818621",-1
"cg01233392",-1
"cg20822990",-1
"cg02037794",-1
"cg14438325",-1
"cg19254163",-1
"cg17852932",-1
"cg07479253",-1
"cg15547825",-1
"cg12363903",-1
"cg14699112",-1
"cg20029201",-1
"cg12727256",-1
"cg20558112",-1
"cg02141748",-1
"cg03735592",-1
"cg06376402",-1
"cg21185271",-1
"cg26153045",-1
"cg03259212",-1
"cg02003183",1
"cg07810884",-1
"cg06128881",-1
"cg05131526",-1
"cg11998307",-1
"cg24935556",-1
"cg15730857",-1
"cg19755435",1
"cg26753608",-1
"cg12686055",-1
"cg03773647",-1
"cg16630369",-1
"cg10375267",-1
"cg00827893",-1
"cg01431482",-1
"cg13732465",-1
"cg06852240",-1
"cg08161931",-1
"cg03851401",-1
"cg06785429",-1
"cg06437922",-1
"cg23233742",-1
"cg08270630",-1
"cg14545975",-1
"cg02946885",-1
"cg10338112",-1
"cg09570614",-1
"cg23005885",-1
"cg18448426",-1
"cg27290215",-1
"cg06595162",-1
"cg09965085",-1
"cg10001186",-1
"cg00911776",-1
"cg02950701",-1
"cg23009067",-1
"cg20494635",-1
"cg00214171",-1
"cg12604858",-1
"cg25909064",-1
"cg23581183",-1
"cg11255208",-1
"cg16209444",-1
"cg03849731",-1
"cg16116203",-1
"cg18018313",-1
"cg22946615",-1
"cg06376426",-1
"cg21734356",-1
"cg19474833",-1
"cg02453726",-1
"cg05000772",-1
"cg22860172",-1
"cg25694915",-1
"cg21279874",-1
"cg09888330",-1
"cg09776772",-1
"cg11726150",-1
"cg21446172",-1
"cg00288957",-1
"cg10512089",-1
"cg00328729",-1
"cg26580095",-1
"cg23230929",-1
"cg17164905",-1
"cg24586978",-1
"cg06998765",-1
"cg10064322",-1
"cg12473797",-1
"cg15671996",-1
"cg16664617",-1
"cg20801110",-1
"cg02836478",-1
"cg04942251",-1
"cg14987431",-1
"cg08234504",-1
"cg05373251",-1
"cg10301695",-1
"cg13370427",-1
"cg05517976",-1
"cg03661409",-1
"cg01408363",-1
"cg02538891",-1
