"probe","coef"
"cg00001209",0.027472979
"cg00014011",-0.048782041
"cg00016215",0.05211675
"cg00027948",-0.05641429
"cg00075753",-0.61112121
"cg00090384",-0.06869604
"cg00100281",-0.017428607
"cg00106940",0.0826222
"cg00139115",0.17224725
"cg00176482",0.03122547
"cg00190912",-0.2005294
"cg00192066",-0.06886027
"cg00203745",-0.03318121
"cg00204390",0.09482695
"cg00208586",0.05066954
"cg00244134",0.2633138
"cg00247972",-0.007147529
"cg00257941",0.033457164
"cg00263654",-0.05143493
"cg00292639",0.4328161
"cg00297075",0.029722649
"cg00309562",-0.002145926
"cg00332561",-0.09413071
"cg00339654",-0.7132785
"cg00359760",0.01561778
"cg00360105",1.9338574
"cg00379717",-0.315197162
"cg00383766",0.099558722
"cg00410898.1",0.1802372
"cg00465985",-0.02282678
"cg00470955",0.02351766
"cg00470976",0.15297338
"cg00471897",-0.035213181
"cg00490620",-0.0061647723
"cg00491561",0.014795775
"cg00500681",-0.91833
"cg00505445",0.02278676
"cg00527510",-0.0025089672
"cg00540391",0.03776694
"cg00543023",0.2302056
"cg00563016",0.07094465
"cg00578937",-1.8888083
"cg00580052",0.031641709
"cg00614320",0.010009752
"cg00618420",-0.24593784
"cg00620527",0.023741505
"cg00658751",0.29193088
"cg00668187",0.02444736
"cg00697942",0.035733629
"cg00735249",-0.03658044
"cg00742557",-1.5832798
"cg00750525",0.02437495
"cg00752852",-0.6656806
"cg00761619",0.014555252
"cg00777340",-0.04816619
"cg00779472",-0.03267712
"cg00780852",0.00103385
"cg00784834",0.009819028
"cg00788877",-0.01586849
"cg00800848",-0.3089543
"cg00833037",-0.06400497
"cg00833227",0.07704655
"cg00839031",0.165958596
"cg00851842",0.11008319
"cg00863447",-0.01823082
"cg00865002",-0.3891126
"cg00868376",0.10616467
"cg00877739",0.176059062
"cg00887982",-0.08238055
"cg00897651",0.1197917
"cg00906973",0.27005475
"cg00927851",0.03414319
"cg00939855",-0.014978688
"cg00952114",-0.48917936
"cg00959147",7.3383028
"cg00965692",-0.04498595
"cg00966253",-0.18629831
"cg00971828",0.01331862
"cg00977108",-0.06692723
"cg00989791",-0.09916687
"cg00994804",0.07475923
"cg01047058",0.21290728
"cg01054501",-0.035540777
"cg01073946",0.0608573
"cg01088086",0.51101079
"cg01099625",0.20922766
"cg01101069",-0.1126822
"cg01107103",0.03768984
"cg01130580",1.1790128
"cg01133215",-0.4018755
"cg01143391",-0.010182938
"cg01167388",-0.1366748731
"cg01171272",-2.8837388
"cg01190601",0.16146052
"cg01194026",-0.05834742
"cg01194316",0.3675929
"cg01204422",-0.049036307
"cg01206394",-0.011992419
"cg01235968",-0.08873763
"cg01241756",-0.047897484
"cg01262663",-0.001684844
"cg01280724",0.031256219
"cg01280744",0.1743769
"cg01307387",-0.10821671
"cg01314601",-0.003100003
"cg01337143",0.119096
"cg01346827",-0.3780376
"cg01351677",-0.00323586
"cg01360368",-0.059161541
"cg01378367",-0.12835319
"cg01408700",-0.16029258
"cg01416924",0.0001328706
"cg01427367",0.386067
"cg01428642",0.017540634
"cg01450059",-0.08505075
"cg01450764",-0.002652562
"cg01456628",-0.019776382
"cg01471217",-1.586358
"cg01494784",-0.1287019
"cg01498131",0.16101011
"cg01521169",0.7544818
"cg01526253",0.015431295
"cg01534197",0.16177277
"cg01546670",-0.09272923
"cg01548368",0.01236314
"cg01551615",0.06039223
"cg01571965",0.081974549
"cg01577249",-0.04829224
"cg01582325",-0.091666634
"cg01592869",-0.1653235
"cg01593388",-0.004551717
"cg01593408",-0.006537044
"cg01594275",0.9251835
"cg01603001",-0.10643938
"cg01619693",-0.1687004
"cg01620430",-0.012046894
"cg01621700",0.16035851
"cg01631295",0.06836722
"cg01632700",-3.8714501
"cg01653419",1.75489
"cg01655437",0.27274582
"cg01655447",0.0281427232
"cg01678549",0.0188651
"cg01717089",-0.01557006
"cg01741060",0.008899057
"cg01745451",-0.029705297
"cg01751209",0.004139672
"cg01751985",-1.1732066
"cg01753578",-0.6450732
"cg01759800",-0.001932536
"cg01765142",-0.010582854
"cg01768969",1.3271131
"cg01785567",0.1928809
"cg01795521",0.3787412
