probe,coef
cg23062112,1
cg07365816,1
cg08659394,1
cg14575559,1
cg18560328,1
cg21229268,1
cg23091824,1
cg03865257,1
cg11250773,1
cg12892303,1
cg12781700,1
cg13583934,1
cg12065366,1
cg25203031,1
cg17404915,1
cg22299454,1
cg05404701,1
cg24010885,1
cg17712694,1
cg20707222,1
cg11297107,1
cg12799781,1
cg01718742,1
cg10263370,1
cg15774465,1
cg16491617,1
cg11832210,1
cg07686635,1
cg26510017,1
cg15745900,1
cg15402399,1
cg06963053,1
cg05009934,1
cg10094616,1
cg06010588,1
cg23847712,1
cg17370163,1
cg13428480,1
cg22620221,1
cg22319311,1
cg16437728,1
cg25984671,1
cg07882671,1
cg04342955,1
cg15759616,1
cg07624639,1
cg14482313,1
cg14537533,1
cg10755973,1
cg10527010,1
cg02119363,1
cg26417642,1
cg10496082,1
cg07688490,1
cg09608387,1
cg02044219,1
cg24205332,1
cg24456663,1
cg12805420,1
cg22604123,1
cg14866200,1
cg13786089,1
cg03414321,1
cg26296488,1
cg20905516,1
cg04633600,1
cg05471845,1
cg10182317,1
cg08712932,1
cg22376706,1
cg11342468,1
cg16150752,1
cg24213507,1
cg25143824,1
cg11345323,1
cg06911020,1
cg03817667,1
cg04474990,1
cg14558114,1
cg22714094,1
cg09022422,1
cg02330121,1
cg02196294,1
cg02501827,1
cg12075445,1
cg14630839,1
cg24092470,1
cg03045425,1
cg17991436,1
cg17683390,1
cg15180867,1
cg18102575,1
cg21923442,1
cg13845982,1
cg01666600,1
cg00804628,1
cg18349138,1
cg26682094,1
cg05248618,1
cg07721203,1
cg07599133,1
cg13171890,1
cg20712058,1
cg02199397,1
cg26970841,1
cg05758434,1
cg01715455,1
cg00865356,1
cg26896155,1
cg05684406,1
cg18920423,1
cg09683824,1
cg26084529,1
cg12518442,1
cg26844246,1
cg05804220,1
cg08919494,1
cg01859739,1
cg12882697,1
cg22534145,1
cg14817655,1
cg13405783,1
cg10784386,1
cg07830652,1
cg22832061,1
cg08593261,1
cg14015441,1
cg04847920,1
cg21349637,1
cg24374738,1
cg24089118,1
cg22014661,1
cg10315231,1
cg16563230,1
cg07967679,1
cg27414233,1
cg04894619,1
cg22600043,1
cg15987088,1
cg01187505,1
cg16246961,1
cg14138050,1
cg06157334,1
cg12253830,1
cg20354430,1
cg09721739,1
cg25682299,1
cg24900370,1
cg17688525,1
cg11723848,1
cg16400794,1
cg18718634,1
cg11036833,1
cg01678172,1
cg06614469,1
cg16405637,1
cg11338121,1
cg13900348,1
cg01457143,1
cg02423064,1
cg09768093,1
cg03132166,1
cg07811644,1
cg20101352,1
cg26541867,1
cg15746696,1
cg07516252,1
cg07055993,1
cg04745161,1
cg16027761,1
cg06730723,1
cg06643298,1
cg23437459,1
cg09736162,1
cg14546394,1
cg26384430,1
cg23339342,1
cg11258943,1
cg05740609,1
cg16433156,1
cg07152098,1
cg09408768,1
cg12573071,1
cg01049530,1
cg22717227,1
cg05890484,1
cg10291141,1
cg26363196,1
cg04621020,1
cg24083469,1
cg07650252,1
cg06215457,1
cg19042459,1
cg27335600,1
cg20532370,1
cg25154916,1
cg10662093,1
cg19430430,1
cg25307074,1
cg01937650,1
cg25367352,1
cg21523251,1
cg15600488,1
cg07624600,1
cg02106223,1
cg03431846,1
cg05486213,1
cg04431946,1
cg24296626,1
cg03032214,1
cg08620606,1
cg23881204,1
cg10202457,1
cg02583525,1
cg04083234,1
cg21756465,1
cg24497836,1
cg03169767,1
cg15766075,1
cg08322034,1
cg24348705,1
cg19221545,1
cg04287116,1
cg00289429,1
cg22445256,1
cg10989897,1
cg01493016,1
cg20077155,1
cg15124757,1
cg15279950,1
cg10591652,1
cg09668400,1
cg07846081,1
cg21609339,1
cg22791632,1
cg01491219,1
cg22951509,1
cg09461185,1
cg13666729,1
cg11905007,1
cg11631518,1
cg08270223,1
cg04812484,1
cg10395685,1
cg16910830,1
cg09275869,1
cg25705900,1
cg23655107,1
cg12091542,1
cg05331082,1
cg26424556,1
cg20185609,1
cg23455602,1
cg21838979,1
cg02590345,1
cg14589466,1
cg26554592,1
cg14013195,1
cg27631427,1
cg01613638,1
cg11238048,1
cg16649052,1
cg19523082,1
cg22667178,1
cg07989568,1
cg26836233,1
cg05742308,1
cg02490516,1
cg05639405,1
cg00457913,1
cg21444693,1
cg18678353,1
cg02622052,1
cg00181968,1
cg21461649,1
cg02841941,1
cg11868900,1
cg03625261,1
cg20375342,1
cg07382554,1
cg18521914,1
cg25649680,1
cg25057743,1
cg16612742,1
cg24248713,1
cg13424673,1
cg10521638,1
cg24319381,1
cg00683895,1
cg04120546,1
cg03048535,1
cg24184687,1
cg21586412,1
cg27202210,1
cg23262134,1
cg20524425,1
cg08476595,1
cg11873482,1
cg13428152,1
cg21013756,1
cg01181350,1
cg15646817,1
cg19613722,1
cg20211713,1
cg25011337,1
cg22837767,1
cg13500074,1
cg27467929,1
cg19517653,1
cg25905812,1
cg19914607,1
cg16638540,1
cg12122146,1
cg08578136,1
cg08616702,1
cg20031656,1
cg27117639,1
cg01408654,1
cg19484319,1
cg09850980,1
cg04549460,1
cg02250263,1
cg10824063,1
cg12843518,1
cg09551472,1
cg03882242,1
cg13315970,1
cg24892510,1
cg17661881,1
cg11315153,1
cg26745540,1
cg23793121,1
cg04402803,1
cg10561835,1
cg20552487,1
cg08047907,1
cg09833789,1
cg17469019,1
cg03565659,1
cg05498007,1
cg00083059,1
cg05975219,1
cg16282993,1
cg08827307,1
cg10971510,1
cg20429172,1
cg22227424,1
cg20388635,1
cg08307816,1
cg15687855,1
cg04535008,1
cg21124497,1
cg12265829,1
cg25775322,1
cg22100873,1
cg21883683,1
cg07510423,1
cg17227156,1
cg01557027,1
cg18366209,1
cg15822346,1
cg04792712,1
cg03674157,1
cg22427475,1
cg12217987,1
cg03566719,1
cg13168683,1
cg02886522,1
cg16411251,1
cg02719752,1
cg10949611,1
