probe,coef
Intercept,0.785283752
cg06846752,-0.023061954
cg19916364,0.028366349
cg05781609,0.066976783
cg15726426,-0.005531138
cg10389771,-0.020453238
cg16269733,-0.003387788
cg03890680,0.004279315
cg16052388,-0.007940455
cg13022624,-0.196481365
cg12387232,0.025699477
cg11176990,-0.022459664
cg22158769,-0.080367441
cg00740914,0.003675998
cg11807280,0.00880973
cg07337544,-0.038982686
cg00528640,0.016196794
cg22454769,-0.074185298
cg19074170,-0.01691814
cg17165841,-0.008944513
cg14435073,-0.005050707
cg00870633,-0.002019839
cg12340144,0.069463896
cg03607117,-0.176134974
cg07144720,0.022840129
cg25265234,0.006404522
cg27182476,0.017410462
cg24850932,0.018895325
cg03915012,0.032631333
cg03799405,0.037918439
cg25144207,-0.003133831
cg03194122,0.002695253
cg25993931,-0.04392615
cg02891686,-0.008095867
cg10183150,-0.005245752
cg14071179,-0.015349373
cg14874742,0.029265318
cg02204637,0.104899748
cg19206146,-0.027724329
cg19398269,-0.019454691
cg26910594,0.176192605
cg16113650,0.02317104
cg23760574,-5.17395e-4
cg25278663,-0.003182468
cg13903548,-0.014348952
cg21429551,0.00876725
cg21449170,-0.017275476
cg07955995,-0.10925454
cg12526474,0.026083106000000002
cg09015433,-0.012092165
cg17131553,0.14983389
cg07691793,0.034977596
cg25653947,-0.122238619
cg11172629,-0.003095163
cg18240400,-0.002758209
cg19939077,0.002720088
cg26579838,-0.003123786
cg19158754,-0.001140037
cg18231614,-0.032420837
cg21990700,0.002012158
cg15996644,-0.051187628
cg25161889,3.61921e-4
cg06647068,0.013814041
cg15125438,0.024287969
cg06648759,-0.002562476
cg23118561,-0.001171244
cg22720431,0.003275195
cg03808001,-0.001760824
cg16188984,-0.020201428
cg03035871,0.097160646
cg02018089,0.01938855
cg14299483,-0.010122603
cg01763090,-0.056408733
cg23479586,0.070224935
cg20809087,-0.080571418
cg02010347,0.069664229
cg16480692,-0.005333091
cg06470626,0.041812185
cg07285209,0.012550986
cg03890691,-0.005405731
cg18693704,0.033155665
cg06959205,0.007258089
cg03832440,0.006837126
cg18026225,-0.011869058
cg00002749,0.011431366
cg22353329,-0.001538947
cg12989560,-0.013596032
cg13383153,0.100853061
cg00539386,-0.031132892
cg25970491,0.004149821
cg16722536,-1.02957e-4
cg13003054,0.043013248
