"probe","coef"
"cg00001209",0.001673011
"cg00001364",0.004127199
"cg00001582",-0.068087594
"cg00002920",0.0009637197
"cg00003994",-0.1827608
"cg00004555",0.006063763
"cg00005112",-0.0008599768
"cg00005271",-0.007202726
"cg00006213",0.04546048
"cg00009248",0.001737481
"cg00010445",0.03078115
"cg00010926",0.01722791
"cg00010977",-0.01852268
"cg00012521",-0.02747429
"cg00013189",0.05517718
"cg00013247",-0.000472326
"cg00014011",0.005303833
"cg00015001",0.021642274
"cg00015319",0.0116254
"cg00016215",0.01268591
"cg00017571",0.01356145
"cg00017737",0.003147616
"cg00019068",-0.001318799
"cg00020468",-0.1243146
"cg00021588",-0.01576228
"cg00022035",0.0004586539
"cg00023292",0.02824405
"cg00027030",-0.05564984
"cg00027863",-0.01307131
"cg00027948",-0.01370077
"cg00029553",0.01154757
"cg00029755",0.00164054
"cg00031262",-0.002893384
"cg00032045",0.004249002
"cg00032807",-0.006226615
"cg00032872",-0.0008789261
"cg00035308",0.0312493
"cg00036621",-0.009904614
"cg00036705",0.001762212
"cg00036788",0.06598157
"cg00037619",0.001227295
"cg00038038",-0.01630814
"cg00038306",-0.09893793
"cg00038376",-0.002951913
"cg00038849",-0.002397558
"cg00039469",0.001574397
"cg00039845",-0.007937401
"cg00042664",0.005508652
"cg00044472",0.007480124
"cg00045149",0.03174139
"cg00046033",0.006089897
"cg00046073",-0.00374906
"cg00046146",-0.001233682
"cg00046614",0.003249684
"cg00046850",0.002986909
"cg00049527",0.01928648
"cg00049667",0.008499138
"cg00049718",-0.004604434
"cg00050268",-0.01489174
"cg00051709",-0.001506996
"cg00051782",-0.05145216
"cg00054169",0.004515364
"cg00054831",-0.04364473
"cg00055619",-0.02826943
"cg00056413",0.02726678
"cg00056578",0.01965826
"cg00056596",-0.002913094
"cg00057767",0.006223228
"cg00058449",0.007405674
"cg00059117",-0.006068963
"cg00059486",0.001361328
"cg00059897",0.002810611
"cg00060304",0.001203464
"cg00060633",0.04001361
"cg00060978",-0.02777417
"cg00061093",-0.05055885
"cg00061684",-0.003523196
"cg00065997",0.06819949
"cg00066554",-0.008977188
"cg00067370",0.001668444
"cg00067520",-0.01917574
"cg00067701",0.006060568
"cg00067884",-0.05452028
"cg00068326",0.006217657
"cg00068760",0.1174856
"cg00069876",0.00146296
"cg00071267",-0.000424436
"cg00072466",-0.1369544
"cg00072485",-0.001958815
"cg00073543",0.008042983
"cg00075753",0.02131035
"cg00077617",0.005699207
"cg00077667",0.000606255
"cg00078463",0.005301577
"cg00079224",0.04437772
"cg00080164",0.01854853
"cg00080475",-0.005074229
"cg00082691",0.0004612686
"cg00083068",9.774121e-05
"cg00084503",0.0002332231
"cg00084577",-0.009265149
"cg00087116",-0.1389314
"cg00087778",0.01382229
"cg00090384",-0.04466314
"cg00090461",0.04608549
"cg00091093",0.002346593
"cg00091964",-0.04777076
"cg00092013",-0.001497095
"cg00092621",0.001598473
"cg00092936",0.00279343
"cg00095474",-0.003441879
"cg00096766",7.209695e-05
"cg00096813",-0.008388077
"cg00096922",-0.02245203
"cg00098422",0.01777563
"cg00100281",-0.00206066
"cg00101175",0.015493964
"cg00101279",0.0001146225
"cg00101491",-0.000726908
"cg00101675",0.014139549
"cg00102584",-0.06077557
"cg00103439",0.02999382
"cg00103598",-0.002527358
"cg00103762",-0.004239621
"cg00104779",-0.005668939
"cg00106630",0.004315307
"cg00106809",0.01112434
"cg00106940",0.008887282
"cg00109300",-0.02129693
"cg00109303",-0.002879989
"cg00109643",-0.06090082
"cg00109797",0.00824913
"cg00110098",-0.004614435
"cg00110825",0.003251121
"cg00111333",-0.005613348
"cg00112642",0.01155369
"cg00114412",-0.01039624
"cg00114602",0.07564201
"cg00115173",-0.04665348
"cg00115203",0.009679016
"cg00115348",0.0005936598
"cg00116110",-0.001729318
"cg00116234",-0.002322928
"cg00116289",0.02893215
"cg00116653",-0.03093267
"cg00117744",-0.006371576
"cg00117839",-0.05855401
"cg00117955",0.03808882
"cg00119476",-0.001229342
"cg00120227",-0.003167874
"cg00122769",-0.009557862
"cg00124810",0.002086312
"cg00126993",0.007286261
"cg00127523",0.01049925
"cg00128439",0.019807343
"cg00130134",0.01356548
"cg00130771",0.003263338
"cg00131490",-0.009796809
"cg00133606",-0.0007721949
"cg00134217",-0.001207644
"cg00134706",0.06011871
"cg00138195",0.09534292
"cg00139115",0.004108342
"cg00140840",-0.006801355
"cg00141625",0.06750692
"cg00143077",0.001363806
"cg00143530",-0.02401558
"cg00143792",-0.005552451
"cg00145315",0.150668
"cg00146174",0.07537499
"cg00146676",-0.0008546464
"cg00147440",0.01158309
"cg00149071",-0.006756626
"cg00149440",0.008767964
"cg00152260",0.07928761
"cg00152482",0.005034501
"cg00153046",-0.02670661
"cg00153387",-0.0002400798
"cg00154486",-0.001504628
"cg00156720",-0.002127126
"cg00156769",-0.04564338
"cg00158333",0.08223215
"cg00159476",0.0007995881
"cg00159753",0.0005925597
"cg00160892",0.01837354
"cg00162326",0.06754848
"cg00165325",0.0367383
"cg00166579",-0.1489611
"cg00166917",0.01389912
"cg00167250",0.004692025
"cg00167491",0.02056032
"cg00167853",-0.001623069
"cg00168721",0.01020458
"cg00168727",-0.01084774
"cg00169860",0.05398833
"cg00170518",0.007335955
"cg00174373",0.05286097
"cg00174687",-0.009044058
"cg00175324",0.006596365
"cg00176482",0.0075929
"cg00177385",0.003250044
"cg00178703",-0.01265153
"cg00179574",-0.01792238
"cg00179765",-0.008066197
"cg00180589",0.002051659
"cg00180801",0.00124897
"cg00180917",-0.01475149
"cg00181100",0.001959501
"cg00181698",0.00026988
"cg00183899",0.002623231
"cg00185982",-0.1468102
"cg00187380",-0.006342357
"cg00187832",0.001637954
"cg00189226",0.002550546
"cg00190744",0.006987451
"cg00190912",0.06268183
"cg00191058",-0.005258124
"cg00192066",-0.008420879
"cg00192998",-0.005188005
"cg00193075",-0.01495995
"cg00193158",0.001420806
"cg00193345",-0.004310347
"cg00194417",0.01484833
"cg00194857",-0.01639445
"cg00195533",-0.006944026
"cg00195577",-0.02278489
"cg00197024",-0.0004056579
"cg00197325",0.02441526
"cg00197456",0.001927286
"cg00199273",0.011319481
"cg00199899",0.01505611
"cg00200794",0.07130198
"cg00201390",0.009789927
"cg00202143",-0.01720088
"cg00203745",-0.00266066
"cg00204390",0.009626718
"cg00204462",0.02847636
"cg00205229",-0.02275681
"cg00205619",-0.01573361
"cg00206304",-0.003338404
"cg00207040",-0.00378497
"cg00207813",-0.001752865
"cg00207962",-0.1140104
"cg00208586",0.002158303
"cg00209445",0.001292338
"cg00211337",-0.0002832032
"cg00211372",-0.004846027
"cg00211423",-0.003684367
"cg00211803",0.0004195818
"cg00213533",-0.01172374
"cg00214262",-0.08679882
"cg00216659",-0.02643139
"cg00217702",-0.06242052
"cg00218407",-0.0008340202
"cg00220188",-0.0004538926
"cg00220465",0.005223182
"cg00220722",0.002107853
"cg00220825",4.752028e-05
"cg00222071",0.09550451
"cg00222474",0.0004169563
"cg00225449",0.05802972
"cg00227334",-0.0020388967
"cg00228489",-0.0836726
"cg00234132",-0.006429353
"cg00234378",-0.242058
"cg00235789",-0.02073784
"cg00236075",-0.006907102
"cg00236139",-0.007586895
"cg00236396",0.003472352
"cg00238638",0.008651192
"cg00238826",0.01073762
"cg00239815",0.01113489
"cg00240737",0.01186255
"cg00240849",-0.003774912
"cg00242883",0.01073558
"cg00243488",-0.0003518046
