"probe","coef"
"cg13742400",1
"cg19695507",1
"cg22562591",1
"cg07905808",1
"cg00116699",1
"cg06043201",1
"cg09667606",1
"cg17607231",1
"cg01133215",1
"cg25463483",1
"cg18739367",1
"cg00504599",1
"cg00256485",1
"cg26686361",1
"cg13931640",1
"cg11723077",1
"cg14066298",1
"cg17572056",1
"cg08574423",1
"cg02003183",1
"cg02976843",1
"cg16776981",1
"cg26076905",1
"cg20556803",1
"cg07869232",1
"cg06230847",1
"cg16481791",1
"cg09849319",1
"cg27436118",1
"cg07092805",1
"cg04225775",1
"cg14064762",1
"cg11460110",1
"cg05165553",1
"cg09287328",1
"cg06824394",1
"cg17723958",1
"cg08220966",1
"cg22387323",1
"cg17173896",1
"cg02348449",1
"cg18098839",1
"cg02688118",1
"cg02850815",1
"cg17080697",1
"cg10441424",1
"cg23249922",1
"cg27039898",1
"cg17390918",1
"cg09912552",1
"cg22662844",1
"cg13810673",1
"cg04815334",1
"cg16030878",1
"cg25786273",1
"cg16505233",1
"cg12122241",1
"cg13509702",1
"cg19281794",1
"cg11771383",1
"cg02185182",1
"cg11145772",1
"cg19755435",1
"cg00634542",1
"cg19588519",1
"cg26682407",1
"cg04425551",1
"cg09763644",1
"cg02371935",1
"cg02787737",1
"cg01329756",1
"cg08289839",1
"cg01881899",1
"cg07152894",1
"cg13273540",1
"cg24126698",1
"cg13311440",1
"cg08644356",1
"cg00091302",1
"cg08842616",1
"cg00587301",1
"cg09187107",1
"cg12423658",1
"cg05162166",1
"cg09560590",1
"cg12068366",1
"cg07599366",1
"cg24499627",1
"cg13618516",1
"cg16302310",1
"cg08329754",1
"cg03669394",1
"cg05661533",1
"cg18642369",1
"cg20660269",1
"cg11969064",1
"cg02365539",1
"cg00399027",1
"cg03590328",1
"cg06832898",1
"cg07081759",1
"cg19769147",1
"cg20173011",1
"cg11977716",1
"cg18051527",1
"cg15551881",1
"cg02237342",1
"cg06380320",1
"cg07095530",1
"cg06576318",1
"cg08400494",1
"cg26638570",1
"cg01383911",1
"cg14533068",1
"cg04231085",1
"cg12286415",1
"cg04204452",1
"cg09317371",1
"cg05870586",1
"cg16776035",1
"cg04214459",1
"cg06633438",1
"cg15355713",1
"cg27133780",1
"cg00476771",1
"cg01483139",1
"cg26444097",1
"cg06412669",1
"cg16660547",1
"cg09273716",1
"cg24365215",1
"cg11887996",1
"cg19327615",1
"cg12387247",1
"cg08782022",1
"cg02708956",1
"cg22137236",1
"cg01833890",1
"cg22091236",1
"cg17803713",1
"cg04157865",1
"cg09865593",1
"cg15349696",1
"cg03794617",1
"cg04088945",1
"cg06895124",1
"cg10937494",1
"cg22799499",1
"cg22023664",1
"cg07719512",1
"cg16352321",1
"cg06305891",1
"cg17112975",1
"cg07173823",1
"cg07078732",1
"cg25329734",1
"cg17285931",1
"cg14801864",1
"cg13549638",1
"cg11554295",1
"cg10319474",1
"cg14178895",1
"cg25059899",1
"cg14522298",1
"cg24830898",1
"cg21253130",1
"cg25003924",1
"cg04926244",1
"cg05027554",1
"cg11297046",1
"cg18599081",1
"cg22513955",1
"cg04987734",1
"cg23756272",1
"cg13640297",1
"cg26689780",1
"cg26680989",1
"cg10499974",1
"cg19137806",1
"cg07970325",1
"cg11070172",1
"cg02203067",1
"cg12459502",1
"cg22505006",1
"cg01470340",1
"cg06005892",1
"cg07812957",1
"cg05389236",1
"cg21473786",1
"cg06433350",1
"cg26955383",1
"cg19533955",1
"cg07628580",1
"cg02306995",1
"cg11311053",1
"cg03894068",1
"cg09020199",1
"cg07875215",1
"cg08415156",1
"cg15609237",1
"cg27217742",1
"cg00313685",1
"cg23462242",1
"cg00463732",1
"cg08691235",1
"cg00107970",1
"cg22615330",1
"cg08698943",1
"cg08729908",1
"cg25960854",1
"cg16370767",1
"cg03310874",1
"cg22166739",1
"cg19570897",1
"cg24906420",1
"cg05644602",1
