"probe","coef"
"cg05575921",-1
"cg05951221",-1
"cg02162897",-1
"cg21566642",-1
"cg20408276",-1
"cg03636183",-1
"cg14753356",-1
"cg01940273",-1
"cg16323911",-1
"cg10880599",-1
"cg23167235",-1
"cg26516004",-1
"cg06644428",-1
"cg13378563",-1
"cg12802310",-1
"cg14663177",1
"cg06126421",-1
"cg23160522",-1
"cg19753864",-1
"cg17248487",-1
"cg11554391",-1
"cg00565882",-1
"cg12101586",-1
"cg06035270",1
"cg11879188",-1
"cg18092474",-1
"cg03329539",-1
"cg20004659",-1
"cg11924019",-1
"cg26672604",-1
"cg00370022",-1
"cg27492584",-1
"cg25189904",-1
"cg21715189",-1
"cg05062676",-1
"cg16340268",1
"cg04802238",-1
"cg12557254",-1
"cg04144218",-1
"cg21161138",-1
"cg26144569",-1
"cg14454127",-1
"cg06492111",-1
"cg09935388",-1
"cg03742137",1
"cg15269394",1
"cg05033295",-1
"cg11233000",1
"cg19723805",1
"cg00069417",-1
"cg12920004",-1
"cg10468961",1
"cg11439308",-1
"cg16824126",-1
"cg01998750",1
"cg04482794",1
"cg13570656",-1
"cg08003353",1
"cg02426623",-1
"cg01278596",1
"cg20082547",-1
"cg27064337",1
"cg14389122",-1
"cg00073090",-1
"cg14711690",1
"cg15992535",1
"cg10801607",1
"cg05652757",1
"cg27560132",-1
"cg23678985",-1
"cg10513161",-1
"cg24884265",-1
"cg04972459",1
"cg00227225",1
"cg04764812",1
"cg00781658",1
"cg21489622",1
"cg04264781",-1
"cg24129626",1
"cg05157702",-1
"cg22060611",1
"cg10791966",-1
"cg18033092",1
"cg05711474",1
"cg02905900",1
"cg05964212",1
"cg24805089",-1
"cg26432350",1
"cg22936884",-1
"cg07251887",-1
"cg15999165",1
"cg14898623",1
"cg13167372",1
"cg04916091",1
"cg08697797",-1
"cg17934130",-1
"cg07945335",1
"cg14399183",1
"cg27200446",1
"cg21160290",-1
"cg23874600",-1
"cg19479935",-1
"cg00107629",1
"cg16374343",1
"cg08094280",-1
"cg19353431",-1
"cg17228232",-1
"cg15048832",1
"cg08139206",-1
"cg24489015",1
"cg13912573",-1
"cg10044101",1
"cg07554046",1
"cg07720851",1
"cg07541559",1
"cg17619755",1
"cg10357657",1
"cg04656424",1
"cg03486383",-1
"cg25467634",1
"cg20390237",-1
"cg17804100",1
"cg22549041",-1
"cg05590619",1
"cg10172887",-1
"cg08490791",1
"cg17430979",-1
"cg19005335",1
"cg00278392",1
"cg10925364",-1
"cg05486035",1
"cg05345286",1
"cg08836861",-1
"cg19502457",-1
"cg23079012",-1
"cg24090911",-1
"cg26883837",-1
"cg05971148",1
"cg16450654",-1
"cg05357229",-1
"cg05441854",1
"cg25103337",1
"cg04328729",-1
"cg06071246",-1
"cg20629021",-1
"cg26849830",-1
"cg04939302",-1
"cg26723054",1
"cg19421526",1
"cg23409608",-1
