probe,coef
(Intercept),-511.9742762
cg00008671,-0.013709171
cg00017970,-1.08361e-4
cg00048759,33.80295695
cg00050402,-0.04946246
cg00089550,-0.02601583
cg00099240,-1.54959e-4
cg00108164,16.04678682
cg00131893,1.96264444
cg00158122,-2.91997e-4
cg00223715,0.582930849
cg00229508,-7.0955e-5
cg00277334,-0.001087012
cg00290758,-6.86109e-5
cg00295744,1.420845328
cg00316485,-0.001614479
cg00335735,-5.52628e-5
cg00342891,-0.003765339
cg00344422,-1.11247e-4
cg00346145,3.404261705
cg00388262,-2.65667e-4
cg00492070,-3.77625e-4
cg00505045,7.503885625
cg00513984,-9.96126e-5
cg00539174,0.089134629
cg00544337,-0.007147847
cg00552753,-5.40513e-4
cg00561903,-1.16648e-4
cg00577578,-4.86494e-4
cg00589581,-0.011206477
cg00638945,-0.015965329
cg00655982,-0.0052405
cg00712841,-0.001741586
cg00715290,-5.66734e-5
cg00750088,-2.71048e-4
cg00785170,-0.001190071
cg00834400,-3.86681e-4
cg00851050,-2.25811e-4
cg00859280,-3.51303e-4
cg00870514,-8.50785e-4
cg00877329,-1.89917e-4
cg00910168,-4.54168e-5
cg00929523,-1.94368e-4
cg00933182,-2.07859e-4
cg01019770,-0.04119239
cg01048752,-0.00711066
cg01055594,-1.75827e-4
cg01065599,-8.65303e-4
cg01080986,15.27845193
cg01081263,-1.90054e-4
cg01103582,9.919434436
cg01181940,-9.09295e-5
cg01192291,-0.001566835
cg01209296,-9.46984e-4
cg01213022,6.547630924
cg01229452,-0.024630431
cg01239922,-0.005335243
cg01245393,-2.43606e-4
cg01262865,-7.84273e-5
cg01274524,4.986550783
cg01307174,-1.95227e-4
cg01346077,-3.15877e-4
cg01399860,-9.36338e-5
cg01416891,-3.48775e-4
cg01421252,-2.78974e-4
cg01433677,-8.12968e-4
cg01521220,-0.018615593
cg01530283,-8.86695e-5
cg01534887,1.82962067
cg01538166,-0.008858079
cg01544580,-8.56579e-4
cg01563071,2.978876246
cg01579218,-6.78267e-4
cg01595397,-8.64271e-5
cg01611548,-7.08411e-4
cg01614478,0.734352145
cg01641620,-2.17468e-4
cg01647632,-0.00047372100000000003
cg01676795,-0.044127199
cg01678292,3.167987575
cg01686177,2.037765048
cg01707820,-0.001667269
cg01768926,-0.00314547
cg01783841,-9.58617e-5
cg01785233,-3.10978e-5
cg01787798,-1.04004e-4
cg01813672,-2.28569e-4
cg01877606,-2.196e-4
cg01899318,-1.1921e-4
cg01943692,-1.72343e-4
cg02010447,-1.96362e-5
cg02061130,-7.49085e-5
cg02061804,0.711457562
cg02071712,-1.58244e-4
cg02079584,-2.44779e-4
cg02131130,-0.001370415
cg02133624,-3.2411e-5
cg02145668,-0.003373858
cg02161761,1.747446578
cg02186748,-0.002675643
cg02216481,-2.70105e-5
cg02225085,10.37295912
cg02264895,-3.96314e-4
cg02320003,-0.00535475
cg02361878,6.819942654
cg02393721,-0.002075578
cg02434059,4.426335096
cg02435538,-0.033202311
cg02450064,-0.00446863
cg02486497,-8.63808e-5
cg02491557,0.101502968
cg02493740,-6.17894e-4
cg02563156,-2.69999e-4
cg02569613,-1.49428e-4
cg02582963,-7.80572e-4
cg02653521,-9.22322e-5
cg02691360,-0.001868194
cg02729030,-2.06064e-4
cg02761568,-0.009325966
cg02777885,-1.12763e-4
cg02780919,2.039703305
cg02827075,-0.001916147
cg02870946,-0.004771346
cg02942825,-0.012990055
cg02954562,-5.74854e-5
cg02965290,-0.00173161
cg02966722,-0.002971722
cg02967428,-1.14166e-4
cg02995791,4.023079108
cg03025337,-0.014937619
cg03040622,-0.001569198
cg03077331,-1.18757e-4
cg03111404,11.21323075
cg03140521,3.737887439
cg03155027,-0.012352153
cg03165014,-1.44568e-4
cg03177551,1.543476752
cg03186975,-0.003403447
cg03215416,1.809013212
cg03270167,-0.001107135
cg03277049,12.81260075
cg03297163,-1.67963e-4
cg03310376,2.87419955
cg03337277,-2.42947e-4
cg03345116,-0.001858477
cg03405983,13.37252608
cg03454541,-0.003099183
cg03466525,-5.8354e-5
cg03493032,-0.00248946
cg03507218,0.493157917
cg03521737,-6.48236e-5
cg03525069,-7.54548e-5
cg03534847,8.483196445
cg03537591,8.736850207
cg03554174,-8.09795e-4
cg03573179,-3.5733e-4
cg03574652,4.85122588
cg03588998,-7.44442e-4
cg03603381,-0.01342787
cg03639671,-0.028682686
cg03641033,-1.12664e-4
cg03669147,-2.47866e-4
cg03678098,-5.26997e-5
cg03686455,7.788261677
cg03688058,-3.89876e-5
cg03739378,-6.96342e-4
cg03741653,-1.78217e-4
cg03748503,-0.021681309
cg03755535,-0.007181274
cg03787711,-9.55691e-5
cg03847705,-1.87231e-4
cg03858663,3.866391886
cg03864121,5.0178558
cg03871460,-0.017885017
cg03887528,-7.7934e-4
cg03948781,-2.82726e-4
cg03982897,-7.04174e-4
cg03995615,-0.005497547
cg03999130,-0.001661434
cg04012082,-1.56656e-4
cg04013159,-1.65278e-4
cg04035728,-3.33343e-5
cg04084236,-0.002695866
cg04087740,-0.002031167
cg04115680,-0.012743636
cg04152629,-0.00147806
cg04154465,2.682273462
cg04194821,-0.002043043
cg04236639,-9.18396e-5
cg04254769,-1.09043e-4
cg04259907,-1.81234e-4
cg04270358,5.580026368
cg04292941,-2.32194e-4
cg04295372,-5.81176e-5
cg04297819,-4.46075e-5
cg04332818,11.25977706
cg04359828,-4.08525e-5
cg04362886,-2.18134e-4
cg04365102,-6.96371e-4
cg04378886,-0.004610682
cg04452896,-2.10741e-4
cg04531704,13.00545819
cg04603184,-0.028084884
cg04613313,-0.005860724
cg04654363,-8.04163e-4
cg04677158,-1.02002e-4
cg04682845,-1.17383e-4
cg04739880,-0.058026195
cg04756296,-9.22672e-4
cg04760708,0.594004937
cg04764624,-0.002155192
